Plant Common Name ,Disease Name (Type),Treatment Methods (Human-Friendly Guide)
Paddy,Leaf Scald (Fungal),"Leaf tips look bleached or ""scalded"" with brown wavy bands. Spray Carbendazim (1g/liter) at the first sign. Avoid heavy Nitrogen doses, especially in the rainy season. Ensure enough space between plants for air to flow; crowded plants stay wet longer, which helps this fungus spread. Proper drainage and balanced nutrition are the best ways to keep the leaves healthy."
Paddy,Kernel Smut / Bunt (Fungal),"A few grains turn into a black, powdery mass. It is hard to ""cure"" once visible. Prevent it by treating seeds with Carboxin or Carbendazim (2g/kg) before sowing. Spraying Propiconazole (1ml/liter) when the ""boot"" leaf is visible protects emerging grains. Avoid heavy irrigation and high Nitrogen during flowering, as moisture and soft growth encourage this disease to take hold."
Rice,Rice Blast (Fungal),"Look for spindle or ""eye-shaped"" spots with grey centers on the leaves. To treat, spray Tricyclazole (0.6g/liter) or Carbendazim (1g/liter). Avoid giving all your Urea fertilizer at once; splitting the dose keeps the leaves from becoming too soft and ""juicy"" for the fungus. Always treat seeds with Pseudomonas fluorescens before sowing to build early leaf strength."
Rice,Bacterial Leaf Blight (Bacterial),"This shows as yellow-to-white wavy streaks starting from the leaf tips. Since chemicals can't ""cure"" bacteria easily, spray a mix of Streptocycline (1g in 10L) and Copper Oxychloride (20g) to stop the spread. Reduce Nitrogen fertilizer immediately and drain the field water for 3 days. This stops the bacteria from swimming from one plant to the next through the water."
Rice,Brown Spot (Fungal),"You will see small, dark brown oval spots that look like sesame seeds on the leaves. This usually happens in ""hungry"" or weak soil. To treat, spray Mancozeb (2g/liter). Long-term, you must improve soil health by adding Zinc and Potash. It is often called the ""poor farmer’s disease"" because it only attacks plants that aren't getting enough nutrition from the ground."
Rice,Sheath Blight (Fungal),"Large, greenish-grey ""snake-skin"" patches appear on the leaf sheaths and spread up to the leaf blades. Spray Hexaconazole (2ml/liter) or Validamycin (2ml/liter) directly at the base and on the affected leaves. Avoid planting too closely; wider spacing allows the wind to dry the leaves. Keep the field bunds clean of grass and weeds where the fungus hides."
Rice,Khaira Disease (Zinc Deficiency),"This is a nutrition problem where the young leaves turn yellow at the base and develop rusty brown spots. To fix it, spray a mixture of Zinc Sulphate (5g) and Lime (2.5g) per 1 liter of water. You will see the leaves turn green again in 7–10 days. For the next crop, make sure to apply 25kg of Zinc Sulphate per hectare directly into the soil."
Rice,Bacterial Leaf Streak (Bacterial),"Look for very thin, straight, transparent lines between the leaf veins that eventually turn brown. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (30g). Just like Leaf Blight, this disease loves high Nitrogen. Ensure your field has good drainage and avoid walking through the crop when the leaves are wet, as the bacteria can stick to your clothes."
Rice,Narrow Brown Leaf Spot (Fungal),"This shows as very short, narrow brown lines that look like pencil marks on the leaves. To treat it, spray Propiconazole (1ml/liter). This disease is a signal that your plant needs more Potassium. Applying Muriate of Potash (MOP) during the early growth stages thickens the leaf walls, making it much harder for the fungus to poke through and start an infection."
Rice,Leaf Scald (Fungal),"The tips of the leaves look bleached or ""burnt"" with wavy, water-soaked brown bands. Spray Carbendazim (1g/liter) at the first sign of these marks. Avoid heavy Nitrogen doses during the rainy season. This fungus spreads when wet leaves rub against each other, so proper spacing and removing weeds that keep the field too humid are the best ways to prevent it."
Rice,Rice Tungro Virus (Viral),"The leaves turn a distinct orange-yellow color from the tip downwards, and the plant stops growing. You cannot treat the virus itself, so you must kill the Green Leafhoppers that carry it. Spray Imidacloprid (0.5ml/liter) immediately. If you see only a few yellow plants, pull them out and bury them deep in the mud so the insects don't spread the virus further."
Rice,Red Stripe* (Bacterial),"You will see bright red or orange-brown stripes running along the length of the leaf. This usually happens after heavy rains or high winds. To treat, spray Copper Oxychloride (2.5g/liter). Since this is a bacterial infection, avoid using too much Urea, which makes the stripes grow faster. Ensure the field is not overcrowded so the leaves can dry out quickly after it rains."
Rice,Leaf Smut* (Fungal),"Small, slightly raised black spots appear on both sides of the leaf, looking like tiny specks of charcoal. It usually doesn't kill the plant but reduces the leaf's ability to make food. Spraying Mancozeb (2g/liter) or Copper Oxychloride (3g/liter) can control it. It is most common in shaded areas of the field, so ensure your crop gets plenty of direct sunlight."
Pepper Bell,Cercospora Leaf Spot (Fungal),"You will see small, circular spots with light grey centers and dark red-brown borders. To treat, spray Mancozeb (2g/liter) or Carbendazim (1g/liter). If the leaves start falling off, ensure you remove and burn them. Avoid overhead watering, as splashing water spreads the fungal spores to healthy leaves."
Pepper Bell,Powdery Mildew (Fungal),"This appears as a white, flour-like powder on the underside of leaves, while the top shows yellow patches. In dry, warm weather, it spreads fast. Spray wettable Sulfur (3g/liter) or Dinocap (1ml/liter). A home remedy is a mixture of baking soda and water (5g/liter). Ensure good spacing for better airflow between plants."
Pepper Bell,Bacterial Leaf Spot (Bacterial),"Look for small, water-soaked dark spots that eventually turn brown and ""warty."" Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Use disease-free seeds and avoid working in the field when plants are wet. Rotate crops so you aren't planting peppers or tomatoes in the same spot every year."
Pepper Bell,Chilli Leaf Curl Virus (Viral),"The leaves curl upwards, become small, and look ""crinkled"" or leathery. This is spread by tiny whiteflies. You cannot ""cure"" the virus, so focus on the insects. Spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Install yellow sticky traps (15 per acre) to catch whiteflies. Pull out and bury infected plants immediately."
Pepper Bell,Phytophthora Blight (Fungal),"This causes large, dark-brown water-soaked patches on the leaves and leads to sudden wilting. It usually strikes during heavy rains. To treat, spray Metalaxyl + Mancozeb (2g/liter). Improve your field's drainage immediately so water doesn't stand. Use raised beds for planting to keep the ""collar"" of the plant dry and safe from soil fungus."
Pepper Bell,Mosaic Virus (Viral),"The leaves show a ""mosaic"" pattern of light and dark green patches. This is spread by aphids or through touch. Control aphids using sticky traps and Neem spray. Always wash your hands and tools with soap after touching a sick plant. There is no chemical cure; infected plants must be removed and destroyed to save the rest."
Pepper Bell,Anthracnose / Dieback (Fungal),It starts as small black spots on leaves and causes the branch tips to dry up like they are dying back. Spray Copper Oxychloride (3g/liter) or Azoxystrobin (1ml/liter). Use healthy seeds and treat them with Trichoderma before sowing. Keep the field clean and ensure you aren't over-fertilizing with Nitrogen.
Pepper Bell,Septoria Leaf Spot* (Fungal),"Small, circular spots with white centers and tiny black dots (spores) inside them. This can cause the plant to lose all its leaves. Spraying Chlorothalonil (2g/liter) or Mancozeb (2.5g/liter) works very well. Remove the infected lower leaves by hand and improve air circulation by pruning extra branches near the bottom of the plant."
Pepper Bell,Grey Mold* (Fungal),"A fuzzy grey mold grows on leaves, stems, or flowers during cool, damp weather. It enters through wounds. The best treatment is airflow—prune your plants and keep them spaced out. If it spreads, spray Carbendazim (1g/liter). Avoid high humidity by using drip irrigation instead of overhead sprinklers."
Pepper Bell,Tomato Spotted Wilt Virus* (Viral),"Young leaves turn bronze and develop small, dark spots or rings. Spread by tiny insects called Thrips. Control Thrips using blue sticky traps and by spraying Fipronil or Spinosad. Keep the field borders free of weeds where thrips hide. Once a plant is infected, it cannot be cured and should be removed."
Pepper Bell,Southern Blight* (Fungal),"Leaves wilt quickly as a white, ""cottony"" mold grows on the stem at the soil line. It looks like small mustard seeds are stuck to the stem. Deep plow the field in summer to bury the fungus. Solarise the soil with plastic sheets. Drench the base of the plants with a Trichoderma solution to protect the roots and stem."
Pepper Bell,Fusarium Wilt (Fungal),"The lower leaves turn yellow and the plant wilts, often on just one side first. Since this is in the soil, sprays don't help much. Drench the soil with Carbendazim (2g/liter). Mixing Trichoderma into your compost before planting is the best organic prevention. Ensure your soil isn't constantly soggy, as the fungus loves wet roots."
Strawberry,Gray Mold (Fungal),"Also called Botrytis. You will see grey, fuzzy mold on berries, usually after rain. Improve airflow by spacing plants well and weeding. Pick and bury rotting fruit immediately so spores don't spread. Avoid overhead watering. If rain is heavy during flowering, spray Cyprodinil + Fludioxonil (Switch), but keeping plants dry and mulched is the most effective cure."
Strawberry,Powdery Mildew (Fungal),"Leaves curl upward like a cup and show white powdery dust underneath. This happens in humid conditions. Spray wettable Sulfur (2g/liter) or a baking soda solution (5g/liter) to change the leaf surface pH. If growing in a polyhouse, open vents to lower humidity. Ensure sunlight reaches the inner leaves to keep the plant dry."
Strawberry,Anthracnose (Fungal),"Black, sunken spots appear on fruit; it can also kill runners. It spreads via infected nursery plants or splashing rain. Use disease-free seedlings. Use drip irrigation to stop water splashing soil spores onto fruit. Mulch with straw/plastic to create a barrier between fruit and soil. Spray Copper Oxychloride or Mancozeb if spots appear on runners."
Strawberry,Common Leaf Spot (Fungal),"Small purple spots with white/grey centers on leaves. It attacks older leaves first. Remove and burn these infected leaves to lower the disease load. Spray Copper-based fungicides (2g/liter) or Mancozeb. Do not work in the field when plants are wet, as your clothes can carry the fungus from sick to healthy plants."
Strawberry,Leaf Scorch (Fungal),"Irregular purple or brown spots without white centers. Eventually, the leaves look ""scorched"" or burnt and dry up. It spreads by splashing water. The treatment is similar to Leaf Spot: remove old debris and apply fungicides like Captan or Thiram. keeping the plant vigorous with good nutrition helps it resist this infection better than weak plants."
Strawberry,Leaf Blight (Fungal),"Large, V-shaped brown spots start from the leaf edge and move inward. It often happens after harvest. Sanitate the field by removing old leaves. If the infection is severe, spray with Carbendazim or Thiophanate-methyl. Since this fungus survives on dead leaves in winter, cleaning your field at the end of the season is the best prevention."
Strawberry,Red Stele (Fungal),"The plant looks stunted and wilts even with water. If you cut the root, the core is rusty red (not white). It thrives in waterlogged soil. There is no cure; remove infected plants. Prevention is key: plant on raised beds (15cm high) for drainage. Dip new roots in Metalaxyl solution before planting."
Strawberry,Phytophthora Crown Rot (Fungal),"The entire plant collapses suddenly. Cutting the crown (the thick stem base) reveals reddish-brown rot inside. Avoid over-watering and heavy soils. Use Fosetyl-Aluminium (Aliette) as a drench if permitted in your area. Use certified disease-free transplants, as this often comes from the nursery. Do not plant strawberries in low spots where water collects."
Strawberry,Leather Rot (Fungal),"Fruit becomes hard, brown, leathery, and tastes bitter. This happens when fruit touches wet soil or mud splashes on it. The best fix is a physical barrier: use a thick layer of straw mulch or plastic so berries never touch dirt. Harvest ripe fruit quickly. If heavy rains are forecast, protect with a Captan spray beforehand."
Strawberry,Verticillium Wilt (Fungal),"Older outer leaves turn brown and dry while inner leaves stay green. The fungus stays in soil for years. Do not plant strawberries where you recently grew tomatoes, potatoes, or brinjal. If soil is infected, use Soil Solarisation (covering wet soil with clear plastic in hot summer) to cook the fungus. There is no chemical cure for infected plants."
Strawberry,Fusarium Wilt (Fungal),"Plants wilt rapidly, and roots turn dark brown/black. It loves warm weather (above 25°C). Since this is a soil-borne fungus, chemical sprays on leaves won't help. Drench soil with Trichoderma viride bio-fungicide regularly to protect roots. Solarise the soil before planting. If a plant dies, remove it with a shovel of soil surrounding it to remove the fungus."
Strawberry,Black Root Rot (Complex),"This is not one disease but a mix of fungi, nematodes, and poor soil health. Roots turn black and rot. It happens in compacted, old soil. Improve soil aeration by adding organic matter (compost). Rotate crops every 2-3 years. Do not replant strawberries in the same spot immediately. Use bio-agents like Trichoderma and Pseudomonas to boost root health."
Strawberry,Angular Leaf Spot (Bacterial),"Small, water-soaked spots on the underside of leaves that look translucent when held up to light. Later they turn brown. Since this is bacterial, fungicides don't work well. Avoid overhead sprinklers completely. Spray Copper Hydroxide to limit spread. Do not harvest or prune when plants are wet."
Strawberry,Bacterial Wilt (Bacterial),"Plants wilt during the day and recover at night, eventually dying. A milky ooze comes out if you cut the stem and put it in water. There is no cure. Remove and burn infected plants. Control weeds strictly. Rotate with mustard or marigold crops to suppress soil bacteria naturally. Ensure your tools are sterilized with bleach between rows."
Strawberry,Strawberry Mottle Virus (Viral),"Plants look stunted, and leaves may have uneven yellow patches, but symptoms are often unclear. It is spread by aphids. You cannot cure a virus. Control aphids using sticky traps and Neem oil sprays. Always buy ""certified virus-free"" plants from a lab or nursery. Remove any plant that looks dwarf or sickly immediately."
Strawberry,Strawberry Crinkle Virus (Viral),"Leaves look crinkled, distorted, or have yellow spots. Also spread by aphids. The management is the same as other viruses: strict insect control. Keep the field border clean of weeds where aphids hide. If you see one infected plant, assume nearby plants might have it too and monitor them closely."
Strawberry,Phyllody (Phytoplasma),"The flower petals turn into small green leaves, and the fruit looks woody. This is caused by phytoplasma spread by Leafhoppers. It looks strange but is serious. Pull out infected plants immediately. Control leafhoppers with appropriate insecticides (like Imidacloprid) or sticky traps. Keep the area free of weeds which host the hoppers."
Strawberry,Root Knot Nematode (Parasitic),"Plants are weak/stunted. Roots have swollen ""knots"" or galls. Plant African Marigold flowers thickly between rows or as a rotation crop; their roots release chemicals that repel nematodes. Apply Neem Cake (200kg/acre) to the soil before planting. Use bio-nematicides like Paecilomyces lilacinus mixed with manure."
Strawberry,Slime Mold (Fungal/Mold),"A white, grey, or yellow slimy coating appears on leaves or stems. It looks scary but actually doesn't hurt the plant much; it just sits on top. It usually goes away when the weather dries. You can wash it off with a strong jet of water. No chemical treatment is usually needed. Improve airflow to prevent it."
Strawberry,Sunscald (Physiological),"Berries develop pale, bleached patches where the hot sun hits them. This isn't a disease but heat damage. Ensure the plant has good leaf cover to shade the berries. In extreme heat, use shade nets (30% shade). Water frequently to keep the plants cool during peak afternoon heat."
Strawberry,Albinism (Physiological),"Fruit looks puffed and stays white/pink instead of turning red, and tastes bland. This happens due to too much Nitrogen fertilizer or cloudy weather during ripening. Reduce Urea/Nitrogen application during fruiting. Supplement with Potassium and Calcium to improve fruit color and firmness."
Strawberry,Catfacing / Nubbins (Physiological),"Fruit is deformed, twisted, or has a ""nub"" end. This is caused by poor pollination (lack of bees) or frost damage during flowering. Avoid using strong pesticides during bloom so you don't kill bees. If frost is expected, cover plants with row covers. Boron deficiency can also cause this, so a foliar Boron spray may help."
Potato,Gray Mold (Fungal),"Also called Botrytis. You will see grey, fuzzy mold on berries, usually after rain. Improve airflow by spacing plants well and weeding. Pick and bury rotting fruit immediately so spores don't spread. Avoid overhead watering. If rain is heavy during flowering, spray Cyprodinil + Fludioxonil (Switch), but keeping plants dry and mulched is the most effective cure."
Potato,Powdery Mildew (Fungal),"Leaves curl upward like a cup and show white powdery dust underneath. This happens in humid conditions. Spray wettable Sulfur (2g/liter) or a baking soda solution (5g/liter) to change the leaf surface pH. If growing in a polyhouse, open vents to lower humidity. Ensure sunlight reaches the inner leaves to keep the plant dry."
Potato,Anthracnose (Fungal),"Black, sunken spots appear on fruit; it can also kill runners. It spreads via infected nursery plants or splashing rain. Use disease-free seedlings. Use drip irrigation to stop water splashing soil spores onto fruit. Mulch with straw/plastic to create a barrier between fruit and soil. Spray Copper Oxychloride or Mancozeb if spots appear on runners."
Potato,Common Leaf Spot (Fungal),"Small purple spots with white/grey centers on leaves. It attacks older leaves first. Remove and burn these infected leaves to lower the disease load. Spray Copper-based fungicides (2g/liter) or Mancozeb. Do not work in the field when plants are wet, as your clothes can carry the fungus from sick to healthy plants."
Potato,Leaf Scorch (Fungal),"Irregular purple or brown spots without white centers. Eventually, the leaves look ""scorched"" or burnt and dry up. It spreads by splashing water. The treatment is similar to Leaf Spot: remove old debris and apply fungicides like Captan or Thiram. keeping the plant vigorous with good nutrition helps it resist this infection better than weak plants."
Potato,Leaf Blight (Fungal),"Large, V-shaped brown spots start from the leaf edge and move inward. It often happens after harvest. Sanitate the field by removing old leaves. If the infection is severe, spray with Carbendazim or Thiophanate-methyl. Since this fungus survives on dead leaves in winter, cleaning your field at the end of the season is the best prevention."
Potato,Red Stele (Fungal),"The plant looks stunted and wilts even with water. If you cut the root, the core is rusty red (not white). It thrives in waterlogged soil. There is no cure; remove infected plants. Prevention is key: plant on raised beds (15cm high) for drainage. Dip new roots in Metalaxyl solution before planting."
Potato,Phytophthora Crown Rot (Fungal),"The entire plant collapses suddenly. Cutting the crown (the thick stem base) reveals reddish-brown rot inside. Avoid over-watering and heavy soils. Use Fosetyl-Aluminium (Aliette) as a drench if permitted in your area. Use certified disease-free transplants, as this often comes from the nursery. Do not plant strawberries in low spots where water collects."
Potato,Leather Rot (Fungal),"Fruit becomes hard, brown, leathery, and tastes bitter. This happens when fruit touches wet soil or mud splashes on it. The best fix is a physical barrier: use a thick layer of straw mulch or plastic so berries never touch dirt. Harvest ripe fruit quickly. If heavy rains are forecast, protect with a Captan spray beforehand."
Potato,Verticillium Wilt (Fungal),"Older outer leaves turn brown and dry while inner leaves stay green. The fungus stays in soil for years. Do not plant strawberries where you recently grew tomatoes, potatoes, or brinjal. If soil is infected, use Soil Solarisation (covering wet soil with clear plastic in hot summer) to cook the fungus. There is no chemical cure for infected plants."
Potato,Fusarium Wilt (Fungal),"Plants wilt rapidly, and roots turn dark brown/black. It loves warm weather (above 25°C). Since this is a soil-borne fungus, chemical sprays on leaves won't help. Drench soil with Trichoderma viride bio-fungicide regularly to protect roots. Solarise the soil before planting. If a plant dies, remove it with a shovel of soil surrounding it to remove the fungus."
Potato,Black Root Rot (Complex),"This is not one disease but a mix of fungi, nematodes, and poor soil health. Roots turn black and rot. It happens in compacted, old soil. Improve soil aeration by adding organic matter (compost). Rotate crops every 2-3 years. Do not replant strawberries in the same spot immediately. Use bio-agents like Trichoderma and Pseudomonas to boost root health."
Potato,Angular Leaf Spot (Bacterial),"Small, water-soaked spots on the underside of leaves that look translucent when held up to light. Later they turn brown. Since this is bacterial, fungicides don't work well. Avoid overhead sprinklers completely. Spray Copper Hydroxide to limit spread. Do not harvest or prune when plants are wet."
Potato,Bacterial Wilt (Bacterial),"Plants wilt during the day and recover at night, eventually dying. A milky ooze comes out if you cut the stem and put it in water. There is no cure. Remove and burn infected plants. Control weeds strictly. Rotate with mustard or marigold crops to suppress soil bacteria naturally. Ensure your tools are sterilized with bleach between rows."
Potato,Strawberry Mottle Virus (Viral),"Plants look stunted, and leaves may have uneven yellow patches, but symptoms are often unclear. It is spread by aphids. You cannot cure a virus. Control aphids using sticky traps and Neem oil sprays. Always buy ""certified virus-free"" plants from a lab or nursery. Remove any plant that looks dwarf or sickly immediately."
Potato,Strawberry Crinkle Virus (Viral),"Leaves look crinkled, distorted, or have yellow spots. Also spread by aphids. The management is the same as other viruses: strict insect control. Keep the field border clean of weeds where aphids hide. If you see one infected plant, assume nearby plants might have it too and monitor them closely."
Potato,Phyllody (Phytoplasma),"The flower petals turn into small green leaves, and the fruit looks woody. This is caused by phytoplasma spread by Leafhoppers. It looks strange but is serious. Pull out infected plants immediately. Control leafhoppers with appropriate insecticides (like Imidacloprid) or sticky traps. Keep the area free of weeds which host the hoppers."
Potato,Root Knot Nematode (Parasitic),"Plants are weak/stunted. Roots have swollen ""knots"" or galls. Plant African Marigold flowers thickly between rows or as a rotation crop; their roots release chemicals that repel nematodes. Apply Neem Cake (200kg/acre) to the soil before planting. Use bio-nematicides like Paecilomyces lilacinus mixed with manure."
Potato,Slime Mold (Fungal/Mold),"A white, grey, or yellow slimy coating appears on leaves or stems. It looks scary but actually doesn't hurt the plant much; it just sits on top. It usually goes away when the weather dries. You can wash it off with a strong jet of water. No chemical treatment is usually needed. Improve airflow to prevent it."
Potato,Sunscald (Physiological),"Berries develop pale, bleached patches where the hot sun hits them. This isn't a disease but heat damage. Ensure the plant has good leaf cover to shade the berries. In extreme heat, use shade nets (30% shade). Water frequently to keep the plants cool during peak afternoon heat."
Potato,Albinism (Physiological),"Fruit looks puffed and stays white/pink instead of turning red, and tastes bland. This happens due to too much Nitrogen fertilizer or cloudy weather during ripening. Reduce Urea/Nitrogen application during fruiting. Supplement with Potassium and Calcium to improve fruit color and firmness."
Potato,Catfacing / Nubbins (Physiological),"Fruit is deformed, twisted, or has a ""nub"" end. This is caused by poor pollination (lack of bees) or frost damage during flowering. Avoid using strong pesticides during bloom so you don't kill bees. If frost is expected, cover plants with row covers. Boron deficiency can also cause this, so a foliar Boron spray may help."
Sugarcane,Red Rot (Fungal),"Often called the ""Cancer of Sugarcane."" The plant dries up, and if you split the cane open, the inside is red with white cross-patches and smells like alcohol. Prevention is the only cure. Use resistant varieties (like Co 86032). Never plant seeds from a field that had Red Rot. Dip seed setts in Carbendazim (1g/liter) before planting. Rotate crops with rice or mustard for one season to break the cycle."
Sugarcane,Smut / Whip Smut (Fungal),"A long, black, dusty ""whip"" grows from the top of the plant. It looks like a burnt stick. Do not just cut it off! Gently cover the whip with a plastic bag before cutting it so the black dust (spores) doesn't fly onto other plants. Burn the bag. Remove the entire clump (roots and all). Treat seed setts with Propiconazole (1ml/liter) before sowing. Avoid keeping a ""Ratoon"" (second crop) if you had Smut."
Sugarcane,Wilt (Fungal),"The cane dries up and shrinks. If you cut it open, the center is hollow and light violet/brown. It usually happens when the plant is close to harvest. Avoid waterlogging; ensure your field drains well. Stop irrigation for a few weeks if you see wilting to reduce spread. Do not use seed from wilted fields. Apply Trichoderma viride (bio-fungicide) mixed with manure in the soil."
Sugarcane,Pokkah Boeng (Fungal),"The top leaves get twisted, wrinkled, and shortened. White or yellow patches appear at the base of leaves. It often happens in the rainy season. It usually recovers on its own, but if severe, spray Copper Oxychloride (3g/liter) or Carbendazim (1g/liter). Adding micronutrients (Magnesium and Zinc) helps the plant recover faster."
Sugarcane,Grassy Shoot Disease (Phytoplasma),"The plant produces many thin, small, white/yellow shoots at the base, looking like grass instead of cane. It will not produce any sugar. This is spread by aphids. Heat Treatment is the best cure: treat seed setts with hot water (50°C) for 2 hours before planting. Dig out and burn infected clumps immediately. Do not take a ratoon crop from an infected field."
Sugarcane,Yellow Leaf Disease (Viral),"The midrib (center vein) of the upper leaves turns bright yellow, while the rest of the leaf stays green. Cane growth slows down. It is spread by aphids. Use Tissue Culture seedlings (virus-free) for planting. Spray Imidacloprid (0.5ml/liter) to kill the aphids that spread it. Give the crop good fertilizer and water so it can tolerate the virus and still yield well."
Sugarcane,Pineapple Disease (Fungal),This attacks the seed setts after planting. The inside of the sett turns black and smells like ripe pineapple. The buds fail to sprout. This happens if the cut ends of the seed are not treated. Always dip the cut ends of your seed setts in a solution of Carbendazim or Propiconazole for 15 minutes before planting to seal the wound.
Sugarcane,Leaf Scald (Bacterial),"White ""pencil lines"" run along the leaf veins. Later, the leaf dries up and looks scalded (burned by hot water). The cane may sprout side shoots. Use certified disease-free seeds. Sterilize your harvesting knives with bleach or by heating them, as the bacteria spreads through tools. Remove infected plants immediately."
Sugarcane,Red Stripe (Bacterial),"Long, narrow red stripes appear on the leaves. If it moves to the top shoot, the top may rot (Top Rot) and smell bad. Since it is bacterial, fungicides won't work perfectly. Improve field drainage and avoid overhead sprinklers. You can spray Copper Oxychloride to limit the spread."
Sugarcane,Rust (Fungal),"Small, elongated orange or brown spots appear on the leaves. If you touch them, orange powder comes off on your finger. It happens in cool, humid weather. Usually, the sun kills it as the weather warms up. If severe, spray Mancozeb (2g/liter) or Propiconazole (1ml/liter). Remove weeds that block sunlight from reaching the lower leaves."
Sugarcane,Mosaic Virus (Viral),Leaves show a pattern of dark and light green patches (mottling). The cane stalks may split. It is spread by aphids and infected knives. There is no chemical cure. Use resistant varieties. The most important step is roguing: check your field frequently and pull out any young plants showing these symptoms early in the season.
Sugarcane,Ratoon Stunting (Bacterial),"You won't see clear symptoms on leaves, but the plant simply doesn't grow tall. The yield drops significantly in the ratoon (second) crop. The inside of the nodes may have orange/red dots. The only prevention is Hot Water Treatment of seeds (50°C for 2 hours) and sterilizing cutting knives with Lysol or bleach between fields."
Sugarcane,Iron Chlorosis (Physiological),"New leaves turn completely white or pale yellow/cream, but the veins might stay green. This is not a disease but a lack of Iron in the soil (common in calcareous/chalky soils). Spray Ferrous Sulphate (5g/liter) mixed with Citric Acid (1g/liter) on the leaves 2-3 times at 10-day intervals."
Ragi,Ragi Blast (Fungal),"The most dangerous disease. Look for spindle-shaped spots with grey centers on leaves. Spray Tricyclazole (0.6g/liter) or Carbendazim (1g/liter). If the ""neck"" or ""earhead"" turns black, spray immediately to save grains. Avoid over-using Urea; split your nitrogen doses. Use resistant seeds like GPU-28 or ML-365."
Ragi,Blight / Leaf Spot (Fungal),"Small, oval, light-brown spots appear and can cover the whole leaf. Spray Mancozeb (2g/liter) as soon as spots appear. This fungus hides on seeds, so treat them with Thiram or Captan (3g/kg) before sowing. Rotating the crop with legumes (like pulses) helps clean the soil naturally."
Ragi,Cercospora Leaf Spot (Fungal),"Shows as long, narrow brown spots. Heavy infection makes leaves look ""burnt."" Spray Mancozeb (2g/liter) or Copper Oxychloride (3g/liter). Ensure proper spacing between plants so sunlight can hit the lower leaves; sunlight is a natural killer for these fungal spores. Maintain soil fertility with organic manure."
Ragi,Downy Mildew (Fungal),"Leaves turn pale yellow and look ""shredded"" or twisted. The grain head turns into a bunch of green leaves instead of seeds. There is no cure once it reaches the earhead. Pull out and burn infected plants immediately. Prevent it by treating seeds with Metalaxyl (4g/kg) and ensuring the field is well-drained."
Ragi,Seedling Blight* (Fungal),"Young seedlings turn brown and die shortly after emerging. This is a soil-borne fungus. Drench the nursery area with Copper Oxychloride (2g/liter). To prevent it, always use raised beds for your nursery so water doesn't stand. Treat seeds with Trichoderma (10g/kg) to provide a biological shield against soil rot."
Ragi,Banded Leaf Blight* (Fungal),"Large, irregular ""bleached"" patches appear on the leaves, looking like bands. It spreads fast in very humid weather. Spray Hexaconazole (2ml/liter) or Propiconazole (1ml/liter). Keep the field free of weeds and avoid planting too densely. This fungus loves high humidity, so keeping the area airy is your best defense."
Ragi,Ragi Mottling Virus (Viral),Leaves show pale green or yellow streaks and a patchy appearance. The plant stays small and stunted. Spread by Aphids. You cannot cure the virus; you must kill the insects. Spray Neem oil (5ml/liter) or Dimethoate (1.7ml/liter). Pull out infected plants immediately to prevent the aphids from carrying the virus to healthy neighbors.
Ragi,Bacterial Leaf Streak (Bacterial),"Fine, transparent, water-soaked streaks along the leaf veins that eventually turn brown. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). Avoid working in the field when plants are wet. Adding Potash (Potassium) to your fertilizer schedule helps the leaf develop a tougher skin against these bacteria."
Ragi,Grain Smut* (Fungal),"While it affects grains, the first sign is often the darkening of the earhead tissues. Grains turn into green or black powdery sacs. Since it is seed-borne, seed treatment with Carbendazim (2g/kg) is the only effective way to stop it. If you see smutted heads, remove them carefully in a plastic bag and burn them."
Ragi,Foot Rot / Wilt (Fungal),Lower leaves turn yellow and the whole plant wilts and dries up. Drench the base of the plants with Carbendazim (2g/liter). The best prevention is to mix Trichoderma viride (2kg/acre) with compost and apply it to the soil before sowing. This beneficial fungus eats the disease-causing fungus in the ground.
Green Chilli,Chilli Leaf Curl Virus (Viral),"The leaves curl upward, become small, and look leathery. This is spread by Whiteflies. There is no chemical cure for the virus. Control the insects: install yellow sticky traps (15 per acre) and spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Pull out and bury infected plants immediately to save the rest of your field."
Green Chilli,Thrips Damage (Pest/Damage),"The leaves curl downward, looking like an inverted boat. The leaf veins turn silver or bronzed. This is caused by sap-sucking thrips. Spray Fipronil (2ml/liter) or Spinosad (0.5ml/liter). Use blue sticky traps. Keeping the field moist helps, as thrips thrive in dry, dusty weather."
Green Chilli,Dieback & Fruit Rot (Fungal),Tips of branches turn black and dry from the top downwards. It also causes small black dots on leaves. Spray Copper Oxychloride (3g/liter) or Azoxystrobin (1ml/liter). Prune and burn the dead branch tips. Always treat seeds with Trichoderma before sowing to prevent this fungus from starting in the nursery.
Green Chilli,Powdery Mildew (Fungal),"White, flour-like dust appears on the underside of leaves, while the top shows yellow patches. This happens in warm, dry weather. Spray wettable Sulfur (3g/liter) or Hexaconazole (2ml/liter). A simple home remedy is spraying a mixture of baking soda (5g/liter) and water. Ensure plants have enough space for air to flow."
