Vegetable Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಬೀನ್ಸ್,ಬಿಳಿ ಬೂಷ್ಟು  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸ್ಕ್ಲೆರೋಟಿನಿಯಾ ಸ್ಕ್ಲೆರೋಟಿಯೋರಮ್ (Sclerotinia sclerotiorum),ಮಣ್ಣಿಗೆ ತಾಗುವ ಕಾಯಿಯ ಮೇಲೆ ಬಿಳಿ ಹತ್ತಿಯಂತಹ ಬೂಷ್ಟು ಬಂದು ಕಾಯಿ ಮೆತ್ತಗಾಗುತ್ತದೆ. ಗಿಡಗಳ ನಡುವೆ ಅಂತರವಿರಲಿ. ಮಲ್ಚಿಂಗ್ ಬಳಸಿ ಕಾಯಿ ಮಣ್ಣಿಗೆ ತಾಗದಂತೆ ಮಾಡಿ. ಕೊಳೆತ ಕಾಯಿ ತೆಗೆಯಿರಿ. ಅತಿಯಾದ ಸಾರಜನಕ ಗೊಬ್ಬರ ಬೇಡ.
ಬೀನ್ಸ್,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಬೀನ್ ಕಾಮನ್ ಮೊಸೈಕ್ ವೈರಸ್ (Bean common mosaic virus),ಕಾಯಿ ಮಚ್ಚೆ ಬಂದು ವಿರೂಪಗೊಳ್ಳುತ್ತದೆ ಮತ್ತು ನಾರಾಗುತ್ತದೆ. ಇದಕ್ಕೆ ಔಷಧವಿಲ್ಲ. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ಹಾಕಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಲು ಹಳದಿ ಅಂಟು ಬಲೆ ಬಳಸಿ. ರೋಗ ನಿರೋಧಕ ತಳಿ (ಅರ್ಕಾ ಕೋಮಲ್) ಬಳಸಿ.
ಬೀಟ್ರೂಟ್,ಹೃದಯ ಕೊಳೆತ / ಹಾರ್ಟ್ ರಾಟ್  (ಪೋಷಕಾಂಶ ಸಮಸ್ಯೆ),ಬೋರಾನ್ ಕೊರತೆ (Boron deficiency),"ಇದು ರೋಗವಲ್ಲ, ಬೋರಾನ್ ಕೊರತೆಯಿಂದ ಗೆಡ್ಡೆಯ ಒಳಗೆ ಕಪ್ಪಾಗುತ್ತದೆ. 5 ಲೀಟರ್ ನೀರಿಗೆ 1 ಚಮಚ ಬೊರಾಕ್ಸ್ ಪುಡಿ ಬೆರೆಸಿ ಮಣ್ಣಿಗೆ ಹಾಕಿ. ಮಣ್ಣು ಒಣಗಲು ಬಿಡದೆ ನೀರು ಕೊಡಿ. ನಾಟಿಗೆ ಮುನ್ನ ಕಾಂಪೋಸ್ಟ್ ಗೊಬ್ಬರ ಹಾಕಿ."
ಬೀಟ್ರೂಟ್,ಸ್ಕ್ಯಾಬ್ / ಕಜ್ಜಿ ರೋಗ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಸ್ಟ್ರೆಪ್ಟೋಮೈಸಸ್ ಸ್ಕ್ಯಾಬೀಸ್ (Streptomyces scabies),ಗೆಡ್ಡೆಯ ಮೇಲೆ ಒರಟಾದ ಕಜ್ಜಿ ಬರುತ್ತದೆ. ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶ ಕಾಪಾಡಿ. ಹಸಿ ಗೊಬ್ಬರ ಬಳಸಬೇಡಿ. ಕ್ಷಾರೀಯ ಮಣ್ಣಿದ್ದರೆ (Alkaline soil) ಇದು ಹೆಚ್ಚು. ಆಲೂಗಡ್ಡೆ ಬೆಳೆದ ಜಾಗದಲ್ಲಿ ಇದನ್ನು ಬೆಳೆಯಬೇಡಿ.
ಬೀಟ್ರೂಟ್,ಬೇರು ಗಂಟು ನುಸಿ / ನೆಮಟೋಡ್  (ಪರಾವಲಂಬಿ ಹುಳು),ಮೆಲೋಯಿಡೋಜೈನ್ ಇನ್ಕಾಗ್ನಿಟಾ (Meloidogyne incognita),"ಬೇರುಗಳು ಗಂಟಾಗಿ ಸಣ್ಣದಾಗುತ್ತವೆ ಮತ್ತು ಹೆಚ್ಚು ಬೇರು ಬಿಡುತ್ತವೆ. ಚೆಂಡು ಹೂವಿನ ಗಿಡಗಳನ್ನು ಬೆಳೆಸಿ, ಇದು ನುಸಿ ಓಡಿಸುತ್ತದೆ. ಬೇವಿನ ಹಿಂಡಿ ಬಳಸಿ. ಬೇಸಿಗೆಯಲ್ಲಿ ಮಣ್ಣಿಗೆ ಪ್ಲಾಸ್ಟಿಕ್ ಹೊದಿಸಿ ಬಿಸಿಲಿಗೆ ಬಿಡಿ."
ಬೀಟ್ರೂಟ್,ಬೇರು ಕೊಳೆತ / ಬ್ಲ್ಯಾಕ್ ಲೆಗ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೋಮಾ ಲಿಂಗಮ್ (Phoma lingam),ಬೇರು ಕಪ್ಪಾಗಿ ಮೆತ್ತಗಾಗುತ್ತದೆ. ಜೇಡಿ ಮಣ್ಣಿನಲ್ಲಿ ನೀರು ನಿಂತರೆ ಇದು ಬರುತ್ತದೆ. ನೀರು ನಿಲ್ಲದಂತೆ ಎತ್ತರದ ಮಡಿ ಮಾಡಿ. ಗಿಡಗಳು ಒತ್ತಾಗದಂತೆ ನೋಡಿಕೊಳ್ಳಿ. ಸೋಂಕಿತ ಗಿಡ ತೆಗೆಯಿರಿ. ಆರಂಭದಲ್ಲಿ ಕಾಪರ್ ಯುಕ್ತ ದ್ರಾವಣ ಹಾಕಬಹುದು.
ಬೀಟ್ರೂಟ್,ಕಟ್ ವರ್ಮ್ / ಕತ್ತರಿಸುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಅಗ್ರೋಟಿಸ್ ಇಪ್ಸಿಲಾನ್ (Agrotis ipsilon),ರಾತ್ರಿ ವೇಳೆ ಹುಳು ಸಸಿಯ ಬುಡ ಕತ್ತರಿಸುತ್ತದೆ. ಹಗಲಿನಲ್ಲಿ ಮಣ್ಣು ಕೆದಕಿ ಹುಳು ಕೊಲ್ಲಿ. ಸಸಿಯ ಸುತ್ತ ಪೇಪರ್ ಲೋಟದ ಪಟ್ಟಿ (ಕಾಲರ್) ಹಾಕಿ ರಕ್ಷಿಸಿ. ಮೊಟ್ಟೆ ಚಿಪ್ಪಿನ ಪುಡಿ ಹಾಕಿದರೆ ಹುಳು ಹತ್ತಿರ ಬರುವುದಿಲ್ಲ.
ಬೀಟ್ರೂಟ್,ಎಲೆ ಚುಕ್ಕೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸರ್ಕೋಸ್ಪೋರಾ ಬೆಟಿಕೋಲಾ (Cercospora beticola),ಎಲೆ ಮೇಲೆ ಕೆಂಪು ಅಂಚಿನ ದುಂಡು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಗಾಳಿ ಆಡಲು ಗಿಡ ವಿರಳ ಮಾಡಿ. ಕಾಪರ್ ಶಿಲೀಂಧ್ರನಾಶಕ ಅಥವಾ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. 3 ವರ್ಷಕ್ಕೊಮ್ಮೆ ಬೆಳೆ ಬದಲಾಯಿಸಿ.
ಬೀಟ್ರೂಟ್,ಎಲೆ ಕೊರೆಯುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಸ್ಪೋಡೋಪ್ಟೆರಾ (Spodoptera),ಹುಳು ಎಲೆಯ ಒಳಗೆ ಸುರಂಗ ಮಾಡಿ ತಿನ್ನುತ್ತದೆ. ಬಾಧಿತ ಎಲೆ ತೆಗೆಯಿರಿ. ನೊಣ ಮೊಟ್ಟೆ ಇಡದಂತೆ ಬಲೆ ಹೊದಿಕೆ (Floating row covers) ಬಳಸಿ.
ವೀಳ್ಯದೆಲೆ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಲೆ ಚುಕ್ಕೆ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಸ್ಯೂಡೋಮೋನಾಸ್ (Pseudomonas),"ಎಲೆಯ ಮೇಲೆ ನೀರು ಹೀರಿದ ಚುಕ್ಕೆ ಬಂದು, ಸುತ್ತಲು ಹಳದಿ ಬಣ್ಣ ಆವರಿಸುತ್ತದೆ. ಎಲೆ ಕಪ್ಪಾಗಿ ಉದುರುತ್ತದೆ. ಇದು ಎಲೆಯ ಮಾರುಕಟ್ಟೆ ಮೌಲ್ಯ ಹಾಳುಮಾಡುತ್ತದೆ. ಸೋಂಕಿತ ಎಲೆ ತೆಗೆಯಿರಿ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಅಥವಾ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿಗೆ ಮುನ್ನ ಕಾಯುವ ಅವಧಿ (Waiting period) ಪಾಲಿಸಿ."
ವೀಳ್ಯದೆಲೆ,ಸೊರಗು ರೋಗ / ಬುಡ ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫ್ಯುಸಾರಿಯಂ (Fusarium),ಗಿಡ ತಕ್ಷಣ ಬಾಡುತ್ತದೆ. ಮಣ್ಣಿನ ಮಟ್ಟದಲ್ಲಿ ಕಾಂಡ ಕಪ್ಪಾಗುತ್ತದೆ. ಇದು ತುಂಬಾ ಅಪಾಯಕಾರಿ. 1 ಲೀಟರ್ ನೀರಿಗೆ 10 ಗ್ರಾಂ ಬೋರ್ಡೋ ಮಿಶ್ರಣ ಅಥವಾ ಟ್ರೈಕೋಡರ್ಮ ಬೆರೆಸಿ ಬುಡಕ್ಕೆ ಸುರಿಯಿರಿ. ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ.
ವೀಳ್ಯದೆಲೆ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಎಲೆ ಮೇಲೆ ಕಪ್ಪು ವರ್ತುಲ ಚುಕ್ಕೆ ಬಂದು ಮಧ್ಯದ ಭಾಗ ಉದುರಿ ತೂತು ಬೀಳುತ್ತದೆ (ಶಾಟ್ ಹೋಲ್). ಕೊಯ್ಲಿನ ನಂತರ ಬೋರ್ಡೋ ಮಿಶ್ರಣ (ಶೇ. 0.5) ಸಿಂಪಡಿಸಿ. ಬಿದ್ದ ಎಲೆಗಳನ್ನು ಸುಟ್ಟುಹಾಕಿ.
ವೀಳ್ಯದೆಲೆ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಓಡಿಯಂ (Oidium),ಎಲೆ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬಂದು ಎಲೆ ಮುರಿಯುತ್ತದೆ. ಗಂಧಕದ ಪುಡಿ ಧೂಳಿಸಿ. ಎಲೆ ಹಸಿಯಾಗಿ ತಿನ್ನುವುದರಿಂದ ಕೊಯ್ಲಿಗೆ 15-20 ದಿನ ಮುಂಚೆ ರಾಸಾಯನಿಕ ನಿಲ್ಲಿಸಿ. ಅಡುಗೆ ಸೋಡಾ ದ್ರಾವಣ ಬಳಸುವುದು ಸುರಕ್ಷಿತ.
ವೀಳ್ಯದೆಲೆ,ಫೈಟೋಫthora ಬುಡ ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಟೋಫthora (Phytophthora),ಬಳ್ಳಿ ಬಾಡಿ ಎಲೆ ಹಳದಿಯಾಗುತ್ತದೆ. ಬುಡ ಕಪ್ಪಾಗುತ್ತದೆ. ಬೋರ್ಡೋ ಮಿಶ್ರಣ ಅಥವಾ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ದ್ರಾವಣವನ್ನು ಮಣ್ಣಿಗೆ ಸುರಿಯಿರಿ. ವರ್ಷಕ್ಕೊಮ್ಮೆ ಬೇವಿನ ಹಿಂಡಿ ಮತ್ತು ಟ್ರೈಕೋಡರ್ಮ ಬಳಸಿ.
ವೀಳ್ಯದೆಲೆ,ಹುರುಪೆ ಕೀಟ / ಸ್ಕೇಲ್  (ಕೀಟ ಬಾಧೆ),ಲೆಪಿಡೋಸ್ಯಾಫೆಸ್ (Lepidosaphes),ಕಾಂಡ ಮತ್ತು ಎಲೆ ಮೇಲೆ ಗಟ್ಟಿಯಾದ ಉಬ್ಬುಗಳಿರುತ್ತವೆ. ಇವು ರಸ ಹೀರುತ್ತವೆ. ಮೆಲ್ಲನೆ ಕೆರೆದು ತೆಗೆಯಿರಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ಇರುವೆಗಳು ಇವುಗಳನ್ನು ಸಾಕುವುದರಿಂದ ಇರುವೆ ನಿಯಂತ್ರಿಸಿ.
ವೀಳ್ಯದೆಲೆ,ಹಿಟ್ಟು ತಿಗಣೆ / ಮೀಲಿಬಗ್  (ಕೀಟ ಬಾಧೆ),ಫೆನಾಕೋಕಸ್ (Phenacoccus),ಎಲೆಯ ಅಡಿಯಲ್ಲಿ ಬಿಳಿ ಹತ್ತಿಯಂತಹ ಕೀಟಗಳಿರುತ್ತವೆ. ಜೋರಾಗಿ ನೀರು ಸಿಂಪಡಿಸಿ ತೊಳೆಯಿರಿ. ಸಾಬೂನು ನೀರು ಅಥವಾ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ಲೇಡಿಬಗ್ ನಂತಹ ಮಿತ್ರ ಕೀಟಗಳನ್ನು ತೋಟಕ್ಕೆ ಬಿಡಿ.
ವೀಳ್ಯದೆಲೆ,ಕೆಂಪು ನುಸಿ / ಮೈಟ್ಸ್  (ನುಸಿ ಬಾಧೆ),ಟೆಟ್ರಾನಿಕಸ್ (Tetranychus),ಎಲೆ ಕೆಂಪಾಗಿ ಧೂಳು ಹಿಡಿದಂತೆ ಕಾಣುತ್ತದೆ. ಬಿಸಿಲಿದ್ದರೆ ಇದು ಹೆಚ್ಚು. ಆಗಾಗ ನೀರು ಸಿಂಪಡಿಸಿ ತೇವಾಂಶ ಹೆಚ್ಚಿಸಿ. ಕರಗುವ ಗಂಧಕ ಅಥವಾ ಬೆಳ್ಳುಳ್ಳಿ-ಮೆಣಸಿನಕಾಯಿ ಕಷಾಯ ಸಿಂಪಡಿಸಿ.
ವೀಳ್ಯದೆಲೆ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಲೆ ರೋಗ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ (Xanthomonas),ಎಲೆ ಮೇಲೆ 'ವಿ' ಆಕಾರದ ನೀರು ಹೀರಿದ ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಸೋಂಕಿತ ಎಲೆ ತೆಗೆಯಿರಿ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಮಿಶ್ರಣ ಸಿಂಪಡಿಸಿ. ಕತ್ತರಿ ಸ್ವಚ್ಛವಾಗಿಡಿ.
ಬಿಂಬ್ಲಿ,ಕಪ್ಪು ಮಚ್ಚೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಟೋಫthora ಪಾಮಿವೋರಾ (Phytophthora palmivora),ಕಾಯಿ ಮತ್ತು ಎಲೆ ಮೇಲೆ ಕಪ್ಪು ಮಸಿ ಚುಕ್ಕೆ ಬಂದು ಸಿಪ್ಪೆ ಒರಟಾಗುತ್ತದೆ. ತೇವಾಂಶ ಹೆಚ್ಚಿದ್ದರೆ ಹೀಗಾಗುತ್ತದೆ. ಬಿಸಿಲು ಬೀಳಲು ಮರ ಕತ್ತರಿಸಿ. ಸೋಂಕಿತ ಕಾಯಿ ತೆಗೆಯಿರಿ. ಮಳೆಗಾಲದಲ್ಲಿ ಕಾಪರ್ ಯುಕ್ತ ಔಷಧ ಸಿಂಪಡಿಸಿ.
ಬಿಂಬ್ಲಿ,ಕಾಂಡ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಟ್ರೈಕೋಬ್ಯಾರಿಸ್ (Trichobaris),ಮರದ ಬುಡದಲ್ಲಿ ಮರದ ಪುಡಿ ಬಿದ್ದಿರುತ್ತದೆ. ಹುಳು ಕಾಂಡದೊಳಗೆ ಇರುತ್ತದೆ. ತಂತಿಯಿಂದ ಹುಳುವನ್ನು ಕೊಲ್ಲಿ. ರಂಧ್ರಕ್ಕೆ ಜೇಡಿ ಮಣ್ಣು ಮತ್ತು ಬೇವಿನ ಎಣ್ಣೆ ತುಂಬಿ ಮುಚ್ಚಿ.
ಬಿಂಬ್ಲಿ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಕಾಯಿಯ ಮೇಲೆ ಕಪ್ಪು ತಗ್ಗು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಮಳೆಗಾಲದಲ್ಲಿ ಇದು ಹೆಚ್ಚು. ಹೂವು ಬಿಡುವಾಗ ಕಾಪರ್ ಯುಕ್ತ ಔಷಧ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಕಾಯಿಗೆ ಗಾಯವಾಗದಂತೆ ನೋಡಿ.
ಬಿಂಬ್ಲಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಹುಳು ಕಾಯಿಯೊಳಗೆ ಸೇರಿ ಕೊಳೆಯಿಸುತ್ತದೆ. ಮೋಹಕ ಬಲೆ ಬಳಸಿ. ಬಿದ್ದ ಕಾಯಿಗಳನ್ನು ಹೂತುಹಾಕಿ. ಕಾಯಿ ಸ್ವಲ್ಪ ಗಟ್ಟಿಯಿರುವಾಗಲೇ ಕೊಯ್ಲು ಮಾಡಿ.
ಬಿಂಬ್ಲಿ,ಮಸಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕ್ಯಾಪ್ನೋಡಿಯಮ್ (Capnodium),ಕೀಟಗಳ ಸ್ರಾವದಿಂದ ಕಪ್ಪು ಮಸಿ ಬರುತ್ತದೆ. ಸಾಬೂನು ನೀರಿನಿಂದ ಕಾಯಿ ತೊಳೆಯಿರಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ ಕೀಟ ನಿಯಂತ್ರಿಸಿ.
ಬಿಂಬ್ಲಿ,ಎಲೆ/ಕಾಯಿ ಸುತ್ತುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಡಯಾಫಾನಿಯಾ (Diaphania),ಹುಳು ಎಲೆ ಮತ್ತು ಎಳೆ ಕಾಯಿಯನ್ನು ಬಲೆ ಹಾಕಿ ತಿನ್ನುತ್ತದೆ. ಕೈಯಿಂದ ತೆಗೆದು ಹಾಕಿ. ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ ಬಿ.ಟಿ (Bt) ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ.
ಬಿಂಬ್ಲಿ,ಹುರುಪೆ ಕೀಟ  (ಕೀಟ ಬಾಧೆ),ಆಸ್ಪಿಸ್ಟಸ್ (Aspidiotus),ಕಾಯಿಯ ಮೇಲೆ ಮೇಣದಂತಹ ಕೀಟವಿರುತ್ತದೆ. ಉಜ್ಜಿ ತೆಗೆಯಿರಿ. ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ತೋಟಗಾರಿಕೆ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಬಿಂಬ್ಲಿ,ಕಾಯಿ ಉದುರುವಿಕೆ  (ಪರಿಸರ),ಪರಿಸರ ಒತ್ತಡ (Environmental stress),ನೀರಿನ ಕೊರತೆಯಿಂದ ಎಳೆ ಕಾಯಿ ಉದುರುತ್ತದೆ. ಬುಡಕ್ಕೆ ಮಲ್ಚಿಂಗ್ ಮಾಡಿ. ಒಣ ಹವೆಯಲ್ಲಿ ನೀರು ಕೊಡಿ. ಪೊಟ್ಯಾಷ್ ಗೊಬ್ಬರ ಕೊಡಿ.
ಬಿಂಬ್ಲಿ,ಹಣ್ಣು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಟೋಫthora (Phytophthora),ಮಳೆಗಾಲದಲ್ಲಿ ಹಣ್ಣು ಮೆತ್ತಗಾಗಿ ನೀರು ಹೀರಿದಂತಾಗುತ್ತದೆ. ಪೂರ್ತಿ ಹಣ್ಣಾಗುವ ಮುನ್ನವೇ ಕೊಯ್ಲು ಮಾಡಿ. ಬಿದ್ದ ಕೊಳೆತ ಹಣ್ಣು ತೆಗೆಯಿರಿ. ಗಾಳಿ ಆಡಲು ಮರ ಕತ್ತರಿಸಿ.
ಹಾಗಲಕಾಯಿ,ಡೌನಿ ಮಿಲ್ಡ್ಯೂ / ತುಪ್ಪದ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸ್ಯೂಡೋಪೆರೋನೊಸ್ಪೊರಾ (Pseudoperonospora),ಎಲೆ ಹಳದಿಯಾಗಿ ಕಾಯಿ ಸಣ್ಣದಾಗಿ ಸುಕ್ಕುತ್ತದೆ. ಎಲೆ ಮೇಲೆ ನೀರು ಬೀಳಿಸಬೇಡಿ. ಬಳ್ಳಿ ಚಪ್ಪರಕ್ಕೆ ಹಬ್ಬಿಸಿ. ಸೋಂಕಿತ ಎಲೆ ತೆಗೆಯಿರಿ. ಸ್ಯೂಡೋಮೋನಾಸ್ ಅಥವಾ ಅಡುಗೆ ಸೋಡಾ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ.
ಹಾಗಲಕಾಯಿ,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಮೊಸೈಕ್ ವೈರಸ್ (Mosaic Virus),ಎಲೆ ಮೇಲೆ ಹಳದಿ ಮಚ್ಚೆ ಬಂದು ಕಾಯಿ ವಿರೂಪಗೊಳ್ಳುತ್ತದೆ. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ಹಾಕಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಿ. ರೋಗ ನಿರೋಧಕ ತಳಿ ಬಳಸಿ.
ಹಾಗಲಕಾಯಿ,ಸರ್ಕೋಸ್ಪೋರಾ ಎಲೆ ಚುಕ್ಕೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸರ್ಕೋಸ್ಪೋರಾ (Cercospora),ಎಲೆ ಮೇಲೆ ಬೂದು ಬಣ್ಣದ ಕಣ್ಣುಗಳಿರುವ ಕಂದು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಸೋಂಕಿತ ಎಲೆ ತೆಗೆಯಿರಿ. ಗಾಳಿ ಆಡುವಂತೆ ಮಾಡಿ. ಅಡುಗೆ ಸೋಡಾ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ.
ಹಾಗಲಕಾಯಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ ಕುಕುರ್ಬಿಟೆ (Bactrocera cucurbitae),ಇದು ಮುಖ್ಯ ಶತ್ರು. ಹುಳು ಕಾಯಿಯೊಳಗೆ ಕೊಳೆಯಿಸುತ್ತದೆ. ಚುಚ್ಚಿದ ಜಾಗದಿಂದ ಅಂಟು ಬರುತ್ತದೆ. ಎಳೆ ಕಾಯಿಗೆ ಕಾಗದದ ಚೀಲ ಹಾಕಿ. ಮೋಹಕ ಬಲೆ (ಕ್ಯೂ-ಲ್ಯೂರ್) ಬಳಸಿ.
ಹಾಗಲಕಾಯಿ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಎಲೆ ಮತ್ತು ಕಾಂಡದ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ಬಳ್ಳಿಗೆ ಬಿಸಿಲು ಬೀಳುವಂತೆ ನೋಡಿ.
ಹಾಗಲಕಾಯಿ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಲ್ಯಾಜೆನಾರಿಯಂ (Colletotrichum lagenarium),ಕಾಯಿಯ ಮೇಲೆ ನೀರು ಹೀರಿದ ತಗ್ಗು ಚುಕ್ಕೆ ಬಂದು ಕಪ್ಪಾಗುತ್ತದೆ. ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಅಥವಾ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ರೋಗಮುಕ್ತ ಬೀಜ ಬಳಸಿ.
ಹಾಗಲಕಾಯಿ,ಕೆಂಪು ಕುಂಬಳ ದುಂಬಿ  (ಕೀಟ ಬಾಧೆ),ಆಫಿಡ್ರಕ್ನಾ ಫೋವಿಯೊಕೊಲ್ಲಿಸ್ (Aulacophora foveicollis),ದುಂಬಿ ಹೂವು ಮತ್ತು ಕಾಯಿಯನ್ನು ತಿನ್ನುತ್ತದೆ. ಬೆಳಿಗ್ಗೆ ವೇಳೆ ಕೈಯಿಂದ ಹಿಡಿದು ನಾಶಪಡಿಸಿ. ಬೂದಿ ಧೂಳಿಸಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಹಾಗಲಕಾಯಿ,ಬೇರು ಗಂಟು ನುಸಿ  (ಪರಾವಲಂಬಿ ಹುಳು),ಮೆಲೋಯಿಡೋಜೈನ್ (Meloidogyne),ಬೇರು ಗಂಟಾಗಿ ಗಿಡದ ಬೆಳವಣಿಗೆ ಕುಂಠಿತವಾಗುತ್ತದೆ. ಕಾಯಿ ಸಣ್ಣದಾಗುತ್ತದೆ. ಚೆಂಡು ಹೂವಿನ ಗಿಡ ಬೆಳೆಸಿ. ಮಣ್ಣಿಗೆ ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ.
ಸೋರೆಕಾಯಿ,ಕೆಂಪು ಕುಂಬಳ ದುಂಬಿ  (ಕೀಟ ಬಾಧೆ),ಆಫಿಡ್ರಕ್ನಾ ಫೋವಿಯೊಕೊಲ್ಲಿಸ್ (Aulacophora foveicollis),ಕೆಂಪು ದುಂಬಿ ಎಲೆ ತಿಂದು ತೂತು ಮಾಡುತ್ತದೆ. ಬೆಳಿಗ್ಗೆ ವೇಳೆ ಹಿಡಿದು ನಾಶಪಡಿಸಿ. ಬೂದಿ ಅಥವಾ ಮೆಣಸಿನ ಪುಡಿ ಮತ್ತು ಹಿಟ್ಟು ಬೆರೆಸಿ ಧೂಳಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಆಳವಾಗಿ ಉಳುಮೆ ಮಾಡಿ.
