Vegetable Common Name ,Disease Name (Type),Treatment Methods
Bimbli,Fruit Fly (Insect Infestation),"Maggots bore into the sour fruit, causing internal rot and premature drop. Install pheromone traps. Collect and bury fallen fruits deep in the soil. Harvest slightly early while the fruit is still firm."
Bimbli,Sooty Mold (Fungal Infection),"Black, sticky coating on the fruit surface due to honeydew from aphids/scales. Wash the fruit with mild soapy water and a soft brush. Control the sucking insects on the tree with Neem oil."
Bimbli,Leaf/Fruit Webber (Insect Infestation),"Caterpillars web leaves and young fruits together, feeding on the surface. Manually remove webbed clusters. Spray Neem oil or a biological insecticide (Bt)."
Bimbli,Scale Insects (Insect Infestation),Waxy bumps on the fruit surface. Scrub off for home use. Prune branches to reduce population. Apply horticultural oil.
Bimbli,Physiological Fruit Drop (Environmental),Massive shedding of young fruits due to water stress. Mulch the base of the tree. Water regularly during dry spells. Ensure the tree has sufficient Potassium.
Bimbli ,Fruit Rot (Fungal Infection),"Soft, brown, water-soaked spots appear on the fruit, especially during rains. The fruit becomes mushy. Harvest fruits before they are fully ripe and soft. Remove fallen, rotting fruits from the ground. Prune the tree to allow airflow."
Bitter Gourd,Downy Mildew (Fungal),"While primarily on leaves (yellow spots), severe infection causes the fruits to remain small, shriveled, and sun-scalded due to lack of shade. Treatment: Avoid overhead watering; keep the leaves dry. Trellis the vines to improve airflow. Remove infected yellow leaves immediately. Spraying Pseudomonas fluorescens (bio-fungicide) or a mild baking soda solution helps. Ensure wide spacing between plants."
Bitter Gourd,Bitter Gourd Mosaic Virus (Viral),Leaves show yellow and green mottling. Fruits are bumpy and deformed. Treatment: Remove and destroy infected plants. Control aphids. Use resistant varieties.
Bitter Gourd,Cercospora Leaf Spot (Fungal),Circular brown spots with grey centers appear on leaves. Treatment: Remove infected leaves. Improve air circulation. Spray a weak baking soda solution.
Bitter Gourd,Fruit Fly (Insect Infestation),"The most serious pest. Maggots rot the fruit from inside. Punctures on skin ooze resin. Bag fruits with paper/cloth covers when small. Use ""Cue-lure"" traps. Destroy infested fruits."
Bitter Gourd,Downy Mildew (Fungal Infection),"Yellow angular spots on leaves lead to poor photosynthesis and stunted, pale, or bitterless fruits. Spray Mancozeb. Avoid water stagnation. Prune lower leaves."
Bitter Gourd,Powdery Mildew (Fungal Infection),White powder on stems/leaves; fruits may turn white or ripen prematurely. Spray wettable sulfur. Ensure vines have good sun exposure.
Bitter Gourd,Mosaic Virus (Viral Infection),"Fruits become bubbly, deformed, and mottled green/yellow. Remove infected plants instantly. Control aphids. Use resistant varieties."
Bitter Gourd,Anthracnose (Fungal Infection),Water-soaked sunken spots on the fruit that turn brown/black. Spray Carbendazim or Copper Oxychloride. Use disease-free seeds.
Bitter Gourd,Red Pumpkin Beetle (Insect Infestation),"Adult beetles eat flowers and young fruit skin, causing scarring. Handpick in early morning. Dust ash on the plant. Spray Neem oil."
Bitter Gourd,Root-Knot Nematode (Parasitic Infection),Galls on roots cause the plant to stunt; fruits remain small and hard. Rotate with marigolds. Add plenty of organic matter/Neem cake to soil.
Bottle Gourd,Red Pumpkin Beetle (Insect),"Bright orange/red beetles chew holes in the leaves, especially young seedlings. Treatment: They are sluggish in the early morning; handpick and destroy them. Dust wood ash or red chilli powder mixed with flour on the leaves to repel them. Deep plow the soil after harvest to kill grubs."
Bottle Gourd,Cercospora Leaf Spot (Fungal),"Circular spots with white centers and brown margins appear on older leaves. Treatment: Remove the lower, older leaves that are heavily infected. Improve airflow. Mulch the soil to prevent spores from splashing up."
Bottle Gourd,Blossom End Rot (Physiological),The tip of the fruit turns black and rots. Treatment: Caused by calcium deficiency or irregular watering. Keep soil moisture constant (don't let it dry out completely). Add lime or crushed eggshells to the soil.
Bottle Gourd,Fruit Fly (Insect Infestation),Maggots cause rotting and distortion of the gourd. Bag the fruits early. Use pheromone traps. Collect and bury dropped fruits.
Bottle Gourd,Blossom End Rot (Calcium Deficiency),"The bottom of the gourd turns black and rots. Caused by irregular watering, not a germ. Mulch soil to keep moisture even. Add lime/calcium to soil."
Bottle Gourd,Anthracnose (Fungal Infection),"Dark, sunken spots on the gourd surface. Spray Mancozeb. Remove infected fruits. Ensure vines are lifted off the ground (trellising)."
Bottle Gourd,Gummy Stem Blight (Fungal Infection),Oozing gum on stems; black rot spots on the fruit. Rotate crops. Spray Chlorothalonil. Remove plant debris after harvest.
Bottle Gourd,Powdery Mildew (Fungal Infection),White powder reduces plant vigor; gourds may be sunscalded due to leaf loss. Spray sulfur. keep vines thinned out.
Bottle Gourd,Cucumber Mosaic Virus (Viral Infection),"Mottled, deformed, or ""warty"" gourds. Remove infected vines. Control aphids. Keep garden weed-free."
Bottle Gourd,Wilt (Fungal/Bacterial),The whole vine collapses; fruits shrivel. Ensure excellent drainage. Use wilt-resistant varieties. Do not plant in the same spot next year.
Breadfruit,Fruit Rot (Fungal),"Similar to Jackfruit, water-soaked lesions appear on the fruit surface, turning it soft and mushy. Treatment: This is common in the heavy rains of Coastal/Malnad Karnataka. Ensure good airflow around the tree by pruning excess branches. Remove infected fruits immediately. Apply a prophylactic spray of Copper Oxychloride before the monsoon begins."
Breadfruit,Mealybugs (Insect),"White, waxy, cotton-like masses cluster on the fruit stalk and undersides of leaves, sucking sap and causing sooty mold (black powder). Treatment: Blast the tree with a high-pressure water hose to dislodge them. Release predatory beetles (Cryptolaemus). Spray a soap and oil solution (10ml neem oil + 5ml soap per liter of water) directly on the bugs."
Breadfruit,Fruit Rot (Fungal Infection),"Soft, brown spots appear on the fruit, usually starting near the stalk, leading to total decay. Prune tree for airflow. Remove infected fruits immediately. Spray copper fungicide before rains."
Breadfruit,Mealybugs (Insect Infestation),White cottony masses on the fruit skin and stalk. Wash off with high-pressure water. Spray soap solution or Neem oil. Band the trunk to stop ants.
Breadfruit,Fruit Fly (Insect Infestation),Larvae bore into the ripe flesh. Harvest fruit while firm-mature (before soft ripe). Use traps. Pick up fallen fruit.
Breadfruit,Anthracnose (Fungal Infection),"Black spots on the fruit skin, often cracking it. Spray copper fungicides. Remove dead branches."
Breadfruit,Scale Insects (Insect Infestation),Hard scales on the fruit rind. Scrub off. Prune heavily infested branches. Use horticultural oil.
Breadfruit,Soft Rot (Bacterial Infection),"Foul-smelling mushy rot entering through injuries. Avoid bruising fruit during harvest (use a catching net). Store in cool, dry place."
Breadfruit,Sooty Mold (Fungal Infection),Black mold on fruit surface due to insect honeydew. Wash fruit with soapy water. Control mealybugs/scales.
Brinjal,Phomopsis Blight (Fungal),"Soft, sunken, light-brown spots appear on the fruit, eventually rotting the whole vegetable. This spreads in wet weather. Use disease-free seeds or treat them with hot water before planting. Avoid overhead watering. Harvest fruits as soon as they are ready. If spots appear, remove the fruit and spray a mild bicarbonate (baking soda) solution to alter the surface pH and stop the fungus."
Brinjal,Shoot & Fruit Borer (Insect Larvae),"Small holes appear on the fruit filled with waste (frass), and the inside becomes mushy. Inspect plants daily; cut off wilted shoot tips immediately as larvae hide there. Bag fruits with muslin cloth. Use pheromone traps to reduce the moth population. A spray of ginger-garlic-chilli extract is a strong repellent. Remove and destroy all damaged fruits instantly to break the breeding cycle."
Brinjal,Little Leaf (Phytoplasma),"While this affects the whole plant (tiny leaves), it causes the flowers to become sterile or green and leafy. Any fruit that does form becomes small, hard, woody, and inedible. Treatment: There is no cure for the plant. Remove and burn the infected plant immediately to stop the spread. The disease is transmitted by leafhoppers, so control these insects using yellow sticky traps and neem oil sprays. Keep the area free of weeds (like Datura) that host the disease."
Brinjal,Red Spider Mite (Arachnid),"While primarily on leaves, severe infestation causes the fruit to become scarred, discolored (russeting), and smaller in size. Treatment: Spray the undersides of leaves and fruits with a strong jet of water to dislodge mites. Keep the plant well-watered (mites love dry, dusty conditions). A spray of wettable sulphur or neem oil is very effective against mites."
Brinjal,Epilachna Beetle / Hadda Beetle (Insect),"A unique spotted beetle (looks like a dull ladybug) scrapes the green matter off leaves, leaving a ""skeleton"" or lace-like pattern. Treatment: Unlike other pests, the adult beetle is slow. Handpick the beetles and their spiky yellow grubs in the morning and drop them in kerosene/soapy water. Spray Neem oil to repel them."
Brinjal,Ash Weevil (Insect),"Adult beetles eat notches (C-shapes) out of the leaf edges. Grubs live in the soil and damage roots, causing wilting. Treatment: The notching is distinct. Handpick the grey beetles early in the morning. Apply Neem cake to the soil to kill the grubs. Spray Neem oil on the leaves to repel adults."
Brinjal,Phomopsis Blight (Fungal Infection),"Soft, brown, sunken spots on the fruit that eventually rot the whole eggplant. Spray Carbendazim or Mancozeb. Use disease-free seeds."
Brinjal,Bacterial Wilt (Bacterial Infection),"The plant wilts suddenly while green. Fruits shrivel. Plant in raised beds for drainage. Use resistant varieties (e.g., Arka Nidhi). Do not plant where tomatoes/potatoes grew recently."
Brinjal,Epilachna Beetle (Insect Infestation),Spiny grubs and spotted beetles eat the leaf surface (skeletonizing) and scar the fruit skin. Handpick them. Spray Neem oil.
Brinjal,Red Spider Mites (Arachnid Infestation),"Mites infest the fruit cap (calyx), causing bronzing and scarring. Spray wettable sulfur or Dicofol. Mist plants with water."
Brinjal,Anthracnose (Fungal Infection),Sunken circular spots on the fruit skin with pinkish ooze. Spray copper fungicide. Remove infected fruits.
Brinjal ,Shoot and Fruit Borer (Insect Infestation),"The worst pest. Larvae bore into the fruit, filling it with excreta. Cut and destroy wilted shoots. Inspect fruits for holes. Spray Neem oil or Spinosad. Use pheromone traps."
Broad Bean,Pod Borer (Insect Larvae),Caterpillars bore round holes into the pods and eat the seeds. Treatment: Inspect the crop during flowering. Handpick caterpillars. Spray Neem Seed Kernel Extract (NSKE 5%) when small pods start forming.
Broad Bean,Black Bean Aphid (Insect Infestation),"Dense colonies of black aphids on the young pods and tips, causing distortion. Pinch off infested tips (topping). Spray soapy water or Neem oil."
Broad Bean,Rust (Fungal Infection),Rusty pustules on leaves and pods. Dust sulfur. Remove infected residues. Space plants well.
Broad Bean,Pod Borer (Insect Infestation),Caterpillars eat holes in the pods. Handpick. Spray Bt or Neem oil.
Broad Bean,Ascochyta Blight (Fungal Infection),Dark spots with grey centers on pods; seeds may be infected. Use clean seeds. Burn infected debris. Spray fungicide if wet weather persists.
Broad Bean,Mosaic Virus (Viral Infection),Mottled leaves; pods are small and twisted. Remove infected plants. Control aphids.
Broad Bean,Root Rot (Fungal Infection),Plants yellow and die; roots are black. Avoid waterlogging. Rotate crops.
Broad Bean ,Chocolate Spot (Fungal Infection),Chocolate-brown spots on leaves and pods. Severe infection causes pods to drop or rot. Spray Mancozeb or Chlorothalonil. Improve air circulation.
Broad Beans,Rust (Fungal),"Small, reddish-brown powdery bumps (pustules) appear on the leaves and pods. Leaves eventually turn yellow and drop. Treatment: Avoid overhead watering; keep foliage dry. Prune plants to improve airflow. Dust with sulphur powder in the early morning or spray wettable sulphur solution."
Broad Beans,Black Bean Aphid (Insect),"Clusters of small, black insects gather on the tender growing tips and flower stalks, sucking sap and causing wilting. Treatment: Pinch off the heavily infested tips. Spray a strong jet of water to wash them off. Use insecticidal soap spray or neem oil. Encourage ladybugs, which eat aphids."
Cabbage,Black Rot (Bacterial),"V-shaped yellow lesions appear on leaf edges, and the internal stem turns black and smelly. Keep leaves dry by watering only at the base. Remove weeds, especially wild mustard. Rotate crops; do not plant cabbage in the same spot for 3 years. There is no cure for infected heads; harvest early if possible or discard the plant entirely to save the soil for future crops."
Cabbage,Soft Rot (Bacterial),"The cabbage head turns into a soft, watery, foul-smelling mush. This often happens after heavy rains or if the head is damaged by insects. Treatment: Handle the heads gently during harvest to avoid bruises where bacteria enter. Ensure the soil drains well. Harvest during dry weather. Store harvested heads in a cool, dry place. Rotate crops annually to prevent bacteria buildup in the soil."
Cabbage,Diamondback Moth / Cabbage Looper (Insect Larvae),"Small green caterpillars chew many small holes in the cabbage head, making it look tattered and filling it with green waste. Treatment: Handpick caterpillars if you have a small garden. Cover young plants with a fine mesh netting (floating row cover) to stop moths from laying eggs. A spray of Bacillus thuringiensis (Bt) is highly effective and safe for humans. Neem oil sprays can also repel the moths."
Cabbage,Tip Burn (Physiological),"The edges of the inner leaves turn brown and papery, even though the outside looks fine. This is calcium deficiency. Treatment: It happens when the plant grows too fast or water is irregular. Keep soil moisture consistent so calcium can travel to the inner leaves. Avoid excessive nitrogen fertilizer which forces rapid growth. Mulch the soil to retain moisture."
Cabbage,Diamondback Moth (Insect Infestation),Small green larvae eat holes in the leaves and burrow into the head. Use pheromone traps. Spray Bt (Bacillus thuringiensis) or Spinosad. Release parasitic wasps (Cotesia).
Cabbage,Black Rot (Bacterial Infection),V-shaped yellow/brown lesions on leaf edges; internal stem turns black and smelly. Use hot-water treated seeds. Rotate crops for 3 years. Remove infected plants.
Cabbage,Cabbage Looper (Insect Infestation),Green caterpillars that move by arching their backs eat large holes in the head. Handpick. Spray Bt or Neem oil.
Cabbage,Clubroot (Fungal Infection),Roots become swollen and club-like; plant stunts; no head forms. Apply lime to raise soil pH (above 7.0). Solarize soil. Do not replant cabbage in infected soil for 5-7 years.
Cabbage,Soft Rot (Bacterial Infection),"The head turns into a foul-smelling, slimy mush. Avoid injuring heads during harvest. Ensure drainage. Rotate crops."
Cabbage,Aphids (Insect Infestation),"Grey/green aphids cluster inside the leaves, making them dirty and sticky. Wash with strong water spray. Use insecticidal soap."
Cabbage,Downy Mildew (Fungal Infection),Dark spots on wrapper leaves; internal head leaves may blacken. Spray Mancozeb. Avoid overhead irrigation.
Capsicum,Sunscald (Abiotic),"A white or yellow paper-thin patch appears on the fruit side facing the sun, looking like a burn. This happens when the fruit lacks leaf cover. Maintain enough leaves on the plant to shade the peppers. If leaves are lost to disease, use a shade cloth during peak afternoon sun. Harvest peppers as soon as they color up to avoid prolonged exposure to intense heat."
Capsicum,Anthracnose / Fruit Rot (Fungal),"Circular, sunken spots appear on the fruit skin. As the disease spreads, the spots may turn black or develop pinkish fungal spores in wet weather. Treatment: Harvest ripe fruits immediately; do not leave them on the plant. Remove and destroy any infected fruits and fallen debris to stop the spread. Ensure wide spacing between plants for airflow. A spray of Pseudomonas fluorescens (bio-fungicide) or neem oil is effective. Avoid overhead watering."
Capsicum,Fruit Borer (Insect Larvae),"Caterpillars bore circular holes into the fruit, eating the inside and leaving waste (frass). The fruit often rots from the inside out. Treatment: Handpick and destroy any visible caterpillars or damaged fruit daily. Install pheromone traps to catch adult moths (Helicoverpa armigera). Spray a biological solution like Bacillus thuringiensis (Bt) or a neem oil mixture (5ml per liter) in the evening."
Capsicum,Wet Rot (Fungal),"The fruit turns soft and mushy with a wet, rotting appearance, often covered in a hairy mold (Choanephora). This usually attacks flowers and young fruits in humid weather. Treatment: This fungus loves high humidity. Improve air circulation by pruning dense leaves. Avoid overhead watering or splashing soil onto the fruit. Remove rotting fruits carefully to avoid releasing spores. Apply a copper-based fungicide if the weather remains wet."
Capsicum,Yellow Mite / Murda (Arachnid),"Leaves curl downwards (inverted boat shape) and become narrow. The fruit skin turns rough and corky (scabbing). Treatment: Mites are tiny and love hot, dry weather. Spray a jet of water to dislodge them. Spray ""Wettable Sulphur"" or Neem oil. Avoid using ""Pyrethroid"" chemicals, as they often make mite problems worse."
Capsicum,Blossom End Rot (Calcium Deficiency),"Bottom of the fruit becomes dark, sunken, and leathery. Maintain even watering. Spray Calcium Chloride. Add lime to soil."
Capsicum,Fruit Borer (Insect Infestation),Larvae bore into fruit; fruit rots or drops. Pheromone traps. Spray Spinosad or Neem oil. Install bird perches.
Capsicum,Bacterial Spot (Bacterial Infection),"Small, raised, scab-like spots on the fruit. Spray Copper fungicide + Streptocycline. Remove infected debris. Use disease-free seeds."
Capsicum,Thrips (Insect Infestation),Tiny insects cause upward curling of leaves and scabby/corky streaks on the fruit skin. Use blue sticky traps. Spray Imidacloprid or Neem oil.
Capsicum,Mosaic Virus (Viral Infection),"Mottled, deformed, bumpy fruits. Remove plants immediately. Control aphids/thrips. Wash hands after using tobacco (TMV)."
Capsicum,Sunscald (Physiological),"White, papery patch on the fruit where exposed to intense sun. Not a disease. Maintain leaf canopy to shade fruit. Use shade nets."
Capsicum ,Anthracnose (Fungal Infection),Water-soaked circles on ripe fruit that turn shriveled and straw-colored. Spray Mancozeb or Copper Oxychloride. Remove infected fruits.
Carrot,Cavity Spot (Fungal),"Small, sunken, elliptical horizontal lesions appear on the root, which darken with age. This is caused by soil fungi like Pythium. Ensure excellent soil drainage and avoid overwatering. Do not plant carrots in wet, heavy clay soils. A 3-year crop rotation is essential. Harvesting carrots as soon as they are mature reduces the time they are exposed to the fungus."
Carrot,Forking (Physical),"The root splits into two ""legs"" or grows twisted. This is caused by stones, hard soil clumps, or fresh manure hitting the growing tip. Sift your soil to remove stones before planting. Use only fully composted manure; fresh manure burns the root tip. Ensure the soil is loose and friable to a depth of 12 inches so the root can push down easily without hitting obstacles."
Carrot,Forking (Physical/Abiotic),"The root splits into two ""legs"" or grows twisted. This is caused by stones, hard soil clumps, or fresh manure contacting the growing tip. Treatment: Sift your soil to remove stones and break up hard clumps before planting. Use only fully composted manure; fresh manure burns the root tip and causes branching. Ensure the soil is loose and friable to a depth of 12 inches so the root can push down easily without hitting obstacles."
Carrot,Green Shoulder (Abiotic),"The top of the carrot root turns green where it meets the stem. This green part tastes bitter. Treatment: This is caused by exposure to sunlight. As the carrot grows and pushes up, ""hill up"" or pile loose soil around the base of the greens to ensure the root crown remains buried in the dark. If you see orange skin poking through the soil, cover it immediately with dirt or mulch."
Carrot,Carrot Rust Fly (Insect Larvae),"Creamy-white maggots tunnel through the root, leaving rusty-brown trails and making the carrot rot. Treatment: This pest detects carrots by scent. Use ""floating row covers"" (fine mesh) immediately after seeding to stop flies from laying eggs. Interplant with strong-smelling onions or garlic to confuse the fly. Delay planting until early summer to miss the first generation of flies. Harvest all carrots before winter; do not leave them in the ground."
Carrot,Bacterial Soft Rot (Bacterial Infection),"The core of the carrot turns into a mushy, foul-smelling slime. This often happens in wet soils or storage. Avoid overwatering. Harvest carefully to avoid scratches. Store carrots in a cool, dry place (0-4°C). Wash with clean water and dry thoroughly before storing."
Carrot,Carrot Rust Fly (Insect Infestation),"Maggots tunnel through the lower third of the root, leaving rusty-brown trails. The carrot becomes inedible. Use floating row covers to stop flies from laying eggs. Delay planting to avoid the first wave of flies. Interplant with onions or garlic to mask the carrot scent."
Carrot,Cavity Spot (Fungal Infection),"Small, sunken, elliptical horizontal lesions appear on the root surface, which later turn dark. It is caused by soil fungi like Pythium. Improve soil drainage and avoid heavy compaction. Do not over-fertilize. Harvest as soon as the roots are mature; do not leave them in the ground too long."
Carrot,Root-Knot Nematode (Parasitic Infection),"The carrot becomes forked, stunted, and covered in galls or bumps. It looks hairy and deformed. Solarize the soil during summer. Rotate crops with marigolds or mustard. Add plenty of organic compost to the soil to encourage beneficial microbes that suppress nematodes."
Carrot,Black Rot (Fungal Infection),"A black, sunken decay forms on the crown (top) of the carrot, often extending down the core. It can develop in storage. Use certified disease-free seeds. Practice a 3-4 year crop rotation. Dip harvested carrots in hot water (50°C) or a biological fungicide before storage."
Carrot,Alternaria Blight (Fungal Infection),"While primarily on leaves, severe infection causes the carrot root to shrivel and blacken at the crown. Spray Mancozeb or Copper Oxychloride if leaves show dark spots. Remove infected foliage immediately. Maintain healthy soil with potassium to boost resistance."
Carrot,Sclerotinia White Mold (Fungal Infection),"A fluffy white mold with black specks covers the stored carrots, turning them into a soft, watery mass. Store carrots in well-ventilated crates, not plastic bags. Isolate any infected roots immediately. Ensure the storage area is disinfected before the new harvest comes in."
Cauliflower,Whiptail (Deficiency),"Leaves become thin and strap-like, and the curd (head) fails to form or is very small. This is caused by Molybdenum deficiency, usually in acidic soil. Liming the soil to reduce acidity usually unlocks the Molybdenum already present. You can also spray a weak solution of sodium molybdate on young plants if the soil test confirms the deficiency."
Cauliflower,Browning / Brown Rot (Physiological),"Rusty brown spots appear on the white curd, and the stem may become hollow. This is caused by Boron deficiency. Treatment: It is not a fungus, so fungicides won't work. Dissolve 1 teaspoon of Borax in 5 liters of water and spray on the soil/leaves when the plant is young. Ensure the soil remains moist, as dry soil prevents Boron absorption. Add compost before planting."
Cauliflower,Bacterial Soft Rot (Bacterial),"The white curd turns into a soft, watery, foul-smelling mush. This often happens after heavy rain or if the head is bruised. Treatment: Handle curds very gently during harvest; even small scratches let bacteria in. Harvest on dry days. Ensure wide spacing for airflow. Rotate crops annually. There is no cure for a rotting head; remove it immediately to save the soil for the next crop."
Cauliflower,Diamondback Moth (Insect Larvae),"Small green caterpillars chew holes in the surface of the white curd, making it dirty with waste and webbing. Treatment: This is the #1 pest. Handpick larvae if visible. Cover young plants with fine mesh netting. Plant mustard as a ""trap crop"" nearby to lure them away. Spray Bacillus thuringiensis (Bt) or neem oil; Bt is very effective as it targets caterpillars specifically without harming humans."
Cauliflower,Buttoning (Physiological),"The plant produces tiny, button-sized heads (""buttons"") instead of large white curds. This is not a germ, but stress. Treatment: This happens if seedlings are too old when transplanted or if nitrogen is low. Transplant young seedlings (25 days old). Ensure consistent watering and fertilizing."
Cauliflower,Black Rot (Bacterial Infection),"The veins of the leaves turn black, and this blackening extends into the curd (head), making it unsellable. Use hot-water treated seeds. Remove and burn infected plants. Do not work in the field when plants are wet. Rotate with non-cruciferous crops for 3 years."
Cauliflower,Curd Rot / Soft Rot (Bacterial Infection),"The beautiful white curd turns into a soft, slimy, foul-smelling brown mush. It often enters through sunscald or insect wounds. Handle heads gently during harvest. Store in a cool environment immediately. Avoid overhead irrigation during head formation."
Cauliflower,Browning / Brown Rot (Boron Deficiency),"The curd shows water-soaked spots that turn rusty brown. The stem may be hollow. This is a nutrient deficiency, not a germ. Apply Borax to the soil (10-15 kg/ha) before planting or spray a borax solution (0.2%) when the curd starts forming."
Cauliflower,Alternaria Curd Spot (Fungal Infection),"Small brown or black spots appear on the white curd, ruining its appearance. It spreads in humid weather. Spray Mancozeb or Chlorothalonil as soon as curds begin to form. Protect the heads from rain if possible. Store harvested heads dry."
Cauliflower,Downy Mildew (Fungal Infection),"While damaging leaves, it can cause internal blackening of the curd/stem. Spray Metalaxyl or Mancozeb. Avoid dense planting to ensure airflow. Remove weeds that host the fungus."
Cauliflower,Cabbage Looper (Insect Infestation),Green caterpillars eat the surface of the curd and leave droppings deep inside the florets. Handpick larvae. Spray Bacillus thuringiensis (Bt) or Spinosad. Cover the crop with netting early in the season.
Cauliflower,Clubroot (Fungal Infection),"Roots swell into clubs, preventing water uptake. The plant stunts and fails to produce a curd. Raise soil pH above 7.0 by adding lime. Improve drainage. Do not plant cauliflower in infected soil for at least 5 years."
Chayote,Viral Mosaic (Viral),"Common in Hills. Mottled leaves, stunted growth. Treatment: Remove infected plants. Control aphids. Use clean planting material."
Chayote,Fruit Fly (Insect Larvae),Maggots bore into fruit. Treatment: Bag fruits. Use pheromone traps.
Chayote,Powdery Mildew (Fungal),"White, dusty fungal growth covers the leaves and stems, causing them to dry out and reducing fruit yield. Treatment: Prune dense vines to allow sunlight and air to penetrate. Spray a mixture of milk and water (1:9 ratio) or baking soda solution. Apply wettable sulphur if the infection is severe."
Chayote,Wilt (Fungal),"The entire vine suddenly wilts and dies, usually starting from one branch. This often happens in waterlogged soil. Treatment: Ensure excellent soil drainage; Chayote hates ""wet feet."" Remove the dead vine and roots. Do not replant in the same pit. Solarize the soil before planting a new vine nearby."
Chayote,Fruit Fly (Insect Infestation),"Maggots bore into the fruit, causing soft rot. Bag the fruits with paper or cloth when they are small. Use pheromone traps to catch adults. Collect and destroy all fallen, rotting fruits."
Chayote,Fusarium Fruit Rot (Fungal Infection),"A dry, brown rot starts at the stem end or fruit tip, often covered in pinkish mold. Avoid injury during harvest. Store fruits in a cool, dry place. Remove infected fruits from the vine immediately."
Chayote,Anthracnose (Fungal Infection),"Brown, sunken spots appear on the fruit skin, which may crack open. Spray copper fungicides or Neem oil during fruit set. Prune the vine to allow sunlight to reach the fruits."
Chayote,Gummy Stem Blight (Fungal Infection),"Black, rotting spots appear on the fruit, and the stem may ooze a gummy substance. Rotate crops. Spray Chlorothalonil. Remove plant debris after harvest."
Chayote,Scab (Fungal Infection),"Corky, raised, brown spots form on the fruit surface, making it rough. It thrives in cool, moist weather. Apply sulfur-based fungicides. Improve air circulation by training vines on a trellis."
Chayote,Mosaic Virus (Viral Infection),"Fruits become bumpy, small, and mottled green/yellow. Remove infected vines immediately. Control aphids which spread the virus. Sanitize tools."
Chayote,Aphids (Insect Infestation),"Insects suck sap from the fruit stems and leave sticky honeydew, leading to black sooty mold on the fruit. Wash fruit with soapy water. Spray Neem oil or insecticidal soap on the vine."
Chickpea,Gram Pod Borer (Insect Larvae),"A green or brown caterpillar (Helicoverpa) chews a round hole in the pod and eats the seed, often leaving half its body hanging out. Treatment: This is the #1 enemy of Kadale. Place bird perches (T-shaped sticks) in the field so birds can sit and eat the larvae. Spray Bacillus thuringiensis (Bt) or Neem oil in the evenings. Handpick caterpillars if the plot is small."
Chickpea,Fusarium Wilt (Fungal),"The plant leaves suddenly turn yellow and droop. The roots turn black internally. Treatment: This fungus lives in the soil. Do not plant Chickpeas in the same field for 3 years. Use wilt-resistant varieties (like ""JG-11""). Treat seeds with Trichoderma (bio-agent) before sowing to protect the roots."
Chickpea,Gram Pod Borer (Insect Infestation),"This is the most destructive pest for chickpeas. The larvae bore circular holes into the pods and eat the developing seeds. Set up pheromone traps to monitor their arrival and install bird perches to encourage predators. Spray Neem oil or a biological agent like HaNPV when caterpillars are small. In severe cases, apply Indoxacarb. Shake plants gently onto a sheet to collect and destroy larvae manually in smaller gardens."
Chickpea,Ascochyta Blight (Fungal Infection),"This fungus creates circular, brown spots with dark rims on the pods, leading to shrunken, discolored, or infected seeds. Always start with certified disease-free seeds and treat them with Carbendazim before planting. If you spot symptoms, spray Chlorothalonil or Mancozeb immediately. Deep plowing in summer helps bury infected debris so spores don't survive. Practice crop rotation with cereals like wheat to break the disease cycle and keep the next harvest clean."
Chickpea,Botrytis Gray Mold (Fungal Infection),"This appears as a fuzzy gray growth on the pods, especially when the canopy is dense and humid. It causes the seeds to rot or abort completely. To prevent it, space your plants wider to allow sunlight and air to reach the lower pods. Avoid excessive irrigation during flowering. If the weather is damp and cloudy, spray Carbendazim or Mancozeb. Intercropping with linseed can also help reduce the spread by improving aeration."
Chickpea,Fusarium Wilt (Fungal Infection),"While this fungus attacks the vascular system, the result is shriveled, undeveloped, and discolored seeds inside the pods. Once a plant wilts, it cannot be cured, so pull it out immediately. Prevention is your only option: plant resistant varieties like ""Avrodhi"" and treat your seeds with Trichoderma viride before sowing. Delay sowing slightly to cooler months, as the fungus thrives in warmer soil. Rotate crops for 3-4 years to starve the soil fungus."
Chickpea,Alternaria Blight (Fungal Infection),"This causes small, dark brown spots on the pods that turn black, leading to poor seed filling and shriveled grains. It usually strikes during the flowering and podding stage. Use healthy seeds and treat them with Thiram. Spray Mancozeb at the first sign of spots and repeat after 10 days. Maintain proper field sanitation by burning infected plant debris after harvest. Excessive irrigation can worsen the spread, so water carefully and ensure the field drains well."
Chilli,Bacterial Spot (Bacterial),"Small, raised, wart-like spots (scabs) appear on the fruit skin. These spots are rough to the touch and brown/black. Treatment: This bacteria spreads via infected seeds or water splash. Use certified disease-free seeds. Avoid overhead sprinkling; keep the fruits dry. Remove infected plant parts immediately. A copper-based fungicide spray can help protect healthy fruits during rainy seasons. Rotate crops (do not plant chilli/tomato in the same spot for 2 years)."
Chilli,White Fly (Insect),Tiny white moths fly up when you shake the plant. They spread viruses and make leaves sticky with honeydew. Treatment: Place Yellow sticky traps (bright yellow attracts them). Spray Neem oil mixed with soap water. Avoid excessive nitrogen fertilizer.
