Fruit Common Name ,Disease Name (Type),Treatment Methods
Date Palm,Date Scale (White Scale),"Small white or grey scales cover the fruit surface, making it look shriveled and unmarketable. The fruit stops growing. Prune heavily infested old leaves (fronds) and burn them. Spray mineral oil (Horticultural oil) @ 10 ml per liter or Azadirachtin (Neem) @ 5 ml per liter to smother the scales. Scrubbing harvested dates with water can remove the scales if the infection is mild."
Fig,Fig Endosepsis (Internal Rot / Pink Rot),"The fruit looks normal outside, but inside the pulp is soft, watery, and rot varies from pink to brown. This fungus is carried into the fig by the pollinating wasp. To control this, you must keep the orchard very clean. Collect and destroy all ""mummy"" figs (dried figs) hanging on the trees or on the ground during winter. If you are using caprifigs for pollination, ensure they are treated or cleaned as recommended by local experts to reduce the fungus carried by wasps."
Fig,Souring (Sour Rot),"The fruit starts smelling like vinegar or alcohol. A pink liquid bubbles out from the eye (opening) of the fig, and the skin turns soft and mushy. This is caused by yeasts and bacteria spread by vinegar flies and dried fruit beetles. Harvest the fruits daily and do not let over-ripe figs stay on the tree. Control the flies by using traps and keeping the orchard free of rotting waste. Avoid overhead irrigation that keeps the fruit wet."
Fig,Fig Smut,"The inside of the fruit is filled with a black, powdery soot. You might not see it until you open the fruit. This fungus enters through the eye of the fruit when it opens. Remove and bury all infected and dried fruits immediately. Spray Mancozeb @ 2 grams per liter or Copper Oxychloride @ 3 grams per liter during fruit development. reduce dust in the orchard as dust carries the fungal spores."
Fig,Anthracnose (Fruit Rot),"Small, sunken, dark brown spots appear on the fruit skin. In humid weather, these spots grow larger and may have pinkish sticky spores. The fruit rots and drops. Prune the tree to allow sunlight and air to dry the leaves and fruits quickly. Spray Carbendazim @ 1 gram per liter or Chlorothalonil @ 2 grams per liter when the fruits are small. Repeat after 15 days if it rains."
Fig,Fig Mosaic Virus,"The fruit develops yellow spots or patterns, becomes deformed, and may drop early. The size of the fruit remains small. This virus is spread by tiny mites. There is no chemical cure for the virus itself. The only solution is to use disease-free cuttings for planting. To stop the spread, control the mites by spraying Wettable Sulphur @ 2 grams per liter or a specific miticide like Abamectin."
Fig,Fruit Cracking,"The skin of the fruit splits open, usually near the eye. This happens when there is heavy rain after a dry spell or if you water the plants irregularly. It is not a disease but makes the fruit rot easily. Maintain constant soil moisture by watering regularly; do not let the soil dry out completely. Apply a thick layer of mulch (dry grass) around the base of the tree to hold moisture. Spraying Calcium Chloride @ 2 grams per liter can help strengthen the skin."
Fig,Sunburn,"The side of the fruit facing the hot sun turns dry, tough, and brown. The fruit stops growing and becomes leathery. This usually happens in summer. Maintain a good canopy of leaves to shade the fruits by providing proper water and fertilizers. You can also whitewash the trunk and main branches to reflect heat. In extreme heat, cover exposed fruits with a light cloth or paper bags."
Fig,Rust (Fruit Infection),"While rust mostly affects leaves, severe infection can cause small, rusty reddish spots on the fruit skin, making it look bad. The fruit may ripen prematurely and fall. Collect and burn fallen leaves. Spray Wettable Sulphur @ 2 grams per liter or Tebuconazole @ 1 ml per liter. Controlling rust on the leaves will automatically protect the fruit."
Grapes,Anthracnose (Bird's Eye Spot),"Prune and burn the infected canes and dried berries immediately to stop the fungus from spreading to new fruits. Apply Bordeaux paste on the cut ends after pruning. During the fruit setting stage, spray Carbendazim @ 1 gram per liter or Copper Oxychloride @ 3 grams per liter. If it rains frequently, use a sticker with the spray to ensure the medicine stays on the fruit."
Grapes,Downy Mildew (Leather Berry),"Keep the vineyard well-ventilated by removing excess leaves around the bunches so that sunlight and air can dry them quickly. If rains occur during berry formation, immediately spray systemic fungicides like Metalaxyl + Mancozeb @ 2 grams per liter or Fosetyl-Al @ 2 grams per liter. Ensure the soil drains well, as high moisture triggers this disease rapidly."
Grapes,Powdery Mildew (Berry Cracking),"Dusting Sulphur @ 20 kg per hectare during the cool morning hours is very effective in preventing this disease. If you see white powder on the berries, spray Wettable Sulphur @ 2 grams per liter or specialized fungicides like Penconazole or Hexaconazole @ 0.5 to 1 ml per liter. Keep the canopy open to let sunlight hit the bunches, which kills the fungus naturally."
Grapes,Botrytis Bunch Rot (Gray Mold),"Remove dead flower caps and trash from the bunch immediately after fruit set, as the fungus starts growing on dead matter. Avoid excessive nitrogen fertilizers which make the canopy too dense. Spray specific fungicides like Fenhexamid or Iprodione just before the bunches close and at the beginning of ripening. Handle bunches carefully during harvest to avoid wounds."
Grapes,Black Rot (Mummy Berry),"Collect and burn all the shriveled, hard, black ""mummy"" berries hanging on the vines or fallen on the ground, as they carry the disease to the next season. Spray Mancozeb @ 2 grams per liter or Myclobutanil beginning when shoots are 10 inches long and continue until the berries start changing color. Keep the vineyard weed-free to reduce humidity."
Grapes,Sour Rot (Vinegar Rot),"Since this rot is spread by fruit flies and vinegar flies, control them by using traps or spraying insecticides like Deltamethrin only if necessary and safe. Prevent berries from cracking by maintaining regular irrigation and avoiding sudden heavy watering. Do not injure the berries during cultural operations. Remove rotting bunches immediately to prevent the smell from attracting more flies."
Grapes,Blue Mold (Storage Rot),This usually attacks grapes after harvest or in storage. Handle the bunches very gently to prevent skin breakage or berry detachment. Cool the grapes immediately after harvest to slow down fungal growth. Fumigate the storage room with Sulphur dioxide pads (grape guards) inside the packaging boxes to keep the berries fresh and free from mold during transport.
Grapes,Rhizopus Rot (Soft Rot),"Prevent the fruit skin from breaking, as this fungus only enters through wounds. Keep the harvested grapes in a cool, dry place and ensure good air circulation in the packing shed. Dip the bunches in a safe post-harvest fungicide if recommended for your variety, or simply ensure strict hygiene and rapid cooling to stop the soft, leaking rot from destroying the crate."
Guava,Anthracnose (Fruit Rot),"Keep the orchard clean by collecting and burying all falling or rotting fruits deep in the soil. Prune dead twigs and branches where the fungus hides. Spray Copper Oxychloride @ 3 grams per liter or Mancozeb @ 2 grams per liter just before the rainy season and again when fruits are developing. After harvest, do not pack any fruits with injuries to prevent rotting in the box."
Guava,Canker (Scab),"Prune the tree branches to prevent overcrowding and allow sunlight to reach the fruits, as dampness encourages this disease. Spray Copper Oxychloride @ 3 grams per liter or Zineb @ 2 grams per liter when the fruits are small (pea-sized). Repeat the spray twice at 15-day intervals to prevent the rough, corky, raised spots from forming on the skin."
Guava,Stylar End Rot,"This rot starts at the bottom (flower end) of the fruit. Improve the cleanliness of the garden and remove any dead twigs or dried fruits immediately. Spray Copper Oxychloride @ 3 grams per liter or Carbendazim @ 1 gram per liter as soon as the fruit sets. Ensure the fruits are not touching wet soil, as this rot often starts from soil fungi splashing onto the fruit."
Guava,Fruit Fly Damage (Maggots),"Hang Methyl Eugenol Pheromone traps (8-10 per acre) in the orchard to catch the male flies. Regularly collect and destroy all fallen, infested fruits by burying them deep underground to kill the maggots. Do not spray insecticide directly on the fruit; instead, spray a bait mixture of Jaggery and Malathion on the tree trunk or old leaves to attract and kill the flies."
Guava,Red Rust (Algal Spot),"This appears as dark green or reddish-brown velvet spots on the fruit. Provide good fertilizer and water to keep the tree strong, as weak trees get this disease easily. Prune the branches to allow air circulation. Spray Copper Oxychloride @ 3 grams per liter or Wettable Sulphur @ 2 grams per liter during early summer or when you first see the spots on the fruits."
Guava,Phytophthora Fruit Rot,"Ensure good drainage in the orchard so water does not stagnate, as this rot spreads rapidly in wet conditions. Support the lower branches so fruits do not touch the wet ground. Spray Metalaxyl + Mancozeb @ 2 grams per liter or Copper Oxychloride @ 3 grams per liter during the rainy season if you see brown rotting spots with white mold on the fruits."
Guava,Grey Blight (Scabby Rot),"This causes large, brown, scabby patches on the fruit. Remove and burn infected leaves and fruits to reduce the source of infection. Spray Mancozeb @ 2 grams per liter or Carbendazim @ 1 gram per liter during the fruiting stage. Keeping the tree healthy with proper nutrition helps it resist this blight."
Indian Raspberry,Botrytis Fruit Rot (Gray Mold),"This is the most common disease in berries. The ripe fruit becomes soft, mushy, and gets covered in a fuzzy grey mold. It spreads quickly if fruits touch each other. To control this, harvest the fruits every day as soon as they ripen; do not let them get over-ripe. Prune the bushes to allow wind to dry the fruits. Refrigerate the fruits immediately after picking. Spray Captan @ 2 grams per liter or Fenhexamid during flowering, but avoid spraying near harvest time."
Indian Raspberry,Anthracnose (Sunken Berry),"Small, purple spots appear on the fruit, causing individual seeds (drupelets) to turn brown, shrink, and dry up. The fruit becomes hard and misshapen. This fungus lives on old canes. Prune and burn all old, dead canes (branches) immediately after harvest. Spray Lime Sulphur during the dormant season (winter). When new canes are growing, spray Captan @ 2 grams per liter or Mancozeb @ 2 grams per liter to protect the fruit before it forms."
Indian Raspberry,Late Leaf Rust (Fruit Infection),"While this is called leaf rust, it severely affects the fruit. You will see yellow-orange powdery masses on the fruit, making it look dusty and inedible. The fruit may ripen unevenly. Remove and burn the fallen leaves and old fruiting canes. Keep the area weed-free. Spray Wettable Sulphur @ 2 grams per liter before the flowers open. Do not spray Sulphur when the temperature is very high as it burns the fruit."
Indian Raspberry,Sun Scald (White Drupelets),Groups of seeds (drupelets) on the fruit turn white or bleached and become soft. This happens on the side of the fruit facing the hot afternoon sun. It is not a disease but heat damage. Ensure the plant has enough leaves to shade the berries. Water the plants regularly to keep them cool. Use a shade net (30% shade) over the crop during the peak summer afternoon hours to protect the quality.
Indian Raspberry,Crumbly Berry,The fruit falls apart into pieces when you pick it. It does not hold together like a whole berry. This can be caused by a virus (spread by nematodes in soil) or poor pollination. There is no spray to cure the virus. Test your soil for nematodes before planting. Buy only certified virus-free plants. Ensure there are enough bees for pollination; avoid spraying insecticides when bees are active during flowering.
Indian Raspberry,Raspberry Fruitworm,"Small yellow-white worms bore into the fruit, feeding on the fleshy part and the center (receptacle). The fruit rots or dries up. The adult beetles feed on flower buds first. Hand-pick the beetles if you see them on buds. Spray Spinosad @ 0.3 ml per liter or Carbaryl @ 2 grams per liter just before the blossoms open to kill the adults before they lay eggs on the fruit."
Jackfruit,Rhizopus Rot (Soft Rot),"This is the most damaging disease where young fruits turn soft, rot quickly, and get covered in a grey, hairy fungal growth before turning black and falling off. To control it, clean the tree by removing and burying all fallen or rotting fruits immediately. Spray Mancozeb @ 2.5 grams per liter or Copper Oxychloride @ 3 grams per liter when the fruits are young. Bagging the young fruits with polythene covers is very effective in preventing this rot."
Jackfruit,Anthracnose (Brown Spot),"Dark brown spots appear on the fruit skin, which may enlarge and cause the skin to crack or rot, especially during humid weather. Prune the tree to remove dead branches and improve airflow around the fruits. Spray Carbendazim @ 1 gram per liter or Copper Oxychloride @ 3 grams per liter during the fruit setting stage. Keep the orchard floor clean from fallen leaves and debris."
Jackfruit,Pink Disease (Stalk Rot),"A pink, crusty coating appears on the branches and spreads to the fruit stalk, causing the fruit to dry up and die. Cut and burn the infected branches and fruit stalks immediately to stop the spread. Apply Bordeaux Paste on the cut ends. Spray the tree with Copper Oxychloride @ 3 grams per liter or Bordeaux mixture (1%) before and after the monsoon rains."
Jackfruit,Fruit Bronzing (Red Discoloration),"The fruit skin turns reddish-brown or bronze in color, and the pulp inside may become hard or tasteless. This is often caused by bacteria or nutrient imbalance. Ensure the tree gets balanced fertilizers, specifically Potash. Spray Copper Oxychloride @ 3 grams per liter if you suspect bacterial infection. Maintain regular watering and avoid water stress during fruit development."
Jackfruit,Jackfruit Borer (Shoot & Fruit Borer),"A caterpillar bores into the fruit, flower buds, and stem, causing rotting and dropping of the fruit. You can often see holes with waste material coming out. Collect and burn all affected buds and fruits. Spray Carbaryl @ 2 grams per liter or Neem Oil @ 5 ml per liter during the flowering and early fruiting stage. Covering the fruit with bags prevents the moth from laying eggs on the skin."
Jackfruit,Dieback (Botryodiplodia Rot),"Twigs and fruit stalks dry up from the tip downwards, often leading to fruit drying. Prune the affected twigs well below the drying point and apply Bordeaux paste on the cut surface. Spray Thio-phanate Methyl @ 1 gram per liter or Carbendazim @ 1 gram per liter to protect the remaining fruits and branches."
Lemon,Citrus Canker,"Brown, raised, corky spots appear on the fruit skin, which look like small craters. In severe cases, the fruit cracks and falls. To control this, cut and burn infected twigs before the monsoon. Spray a mixture of Streptocycline (1 gram) and Copper Oxychloride (10 grams) in 10 liters of water. Spray this three times during the rainy season at 20-day intervals. Using windbreaks around the orchard also helps reduce the spread."
Lemon,Citrus Scab,"Rough, corky, warty projections appear on the fruit surface, making it look deformed and ugly. It is common in sour limes. Prune the infected parts to reduce the source of infection. Spray Copper Oxychloride @ 3 grams per liter or Carbendazim @ 1 gram per liter when new flush and flowers appear. Repeat the spray when fruits are pea-sized."
Lemon,Gummosis (Brown Rot),"Fruits near the ground turn brown, leathery, and rot with a bad smell. This happens due to water stagnation. Improve drainage in the orchard so water does not stand near the tree trunk. Paint the trunk with Bordeaux paste. Spray Metalaxyl + Mancozeb @ 2 grams per liter or Fosetyl-Al @ 2 grams per liter on the tree and soil during the rainy season."
Lemon,Anthracnose (Fruit Rot),"Dark brown, dry spots appear on the fruit skin, often forming ""tear stains"" where water drips down. The fruit may rot at the stem end and drop. Remove dead twigs and dried branches. Spray Carbendazim @ 1 gram per liter or Mancozeb @ 2 grams per liter twice: once at flowering and again when fruits are developing."
Lemon,Green / Blue Mold,"This is a storage disease. A soft, watery spot appears on the fruit, which quickly gets covered in green or blue powder. It enters only through wounds. Handle lemons very gently during harvest; do not pull them, clip them. Wash fruits with clean water containing a little chlorine or dip them in a Carbendazim (0.5 gram per liter) solution before packing."
Lemon,Fruit Cracking,"The fruit skin splits open, usually due to irregular watering or Boron deficiency. Maintain constant soil moisture by watering regularly; do not let the soil dry out completely and then flood it. Spray Borax @ 4 grams per liter or Calcium Nitrate @ 2 grams per liter when fruits are pea-sized to strengthen the skin."
Lemon,Sooty Mold (Black Coating),"A black, sticky powder covers the fruit, reducing its market value. This is caused by insects like aphids and whiteflies. Spray Starch solution (2%) on the fruits; when it dries, it peels off with the black mold. To solve the root cause, control the insects by spraying Dimethoate @ 2 ml per liter or Neem Oil @ 5 ml per liter."
Lemon,Stylar End Rot,"A soft, brown rot starts at the tip (nipple) of the lemon and spreads upwards. This often happens in hot weather due to water stress. Ensure the tree is watered deeply and regularly during the summer. Avoid nitrogen fertilizer during the fruit development stage. Spraying 2,4-D @ 20 ppm (very small amount) can help reduce this drop in some varieties."
Mango,Anthracnose (Black Spot / Fruit Rot),"Collect and burn all fallen or infected fruits to stop the disease from spreading. During flowering and when small fruits appear, spray Carbendazim @ 1 gram per liter or Mancozeb @ 2 grams per liter of water. After harvesting, dip the fruits in hot water (52°C) for 10 minutes to prevent them from rotting during storage."
Mango,Bacterial Canker (Cracked Fruit),Immediately cut and burn any infected branches and fruits to keep the orchard clean. Protect fruits from wind damage since wounds allow bacteria to enter. Mix Streptocycline (1 gram) and Copper Oxychloride (10 grams) in 5 liters of water and spray this mixture three times during the rainy season to control the spread.
Mango,Powdery Mildew,"Prune dense branches to allow sunlight and air to reach the fruits, as this reduces the disease naturally. When flowers and small fruits first appear, spray Wettable Sulphur @ 2 grams per liter or Hexaconazole @ 1 ml per liter. If the infection is severe, repeat the spray after 15 days."
Mango,Stem End Rot,"Harvest fruits carefully by cutting them with a 1 cm stalk using a clipper or scissor, and do not pull them by hand. Ensure fruits do not touch the soil after harvest. To prevent rotting, spray Carbendazim @ 1 gram per liter on the trees 15 days before harvesting."
Mango,Sooty Mold (Black Coating),"Control the insects (hoppers/aphids) that cause this mold by spraying Dimethoate @ 2 ml per liter. To clean the fruit, wash it with clean water after harvest. Alternatively, spray a solution of Starch (Maida) @ 20 grams per liter on the tree; when it dries, the starch will peel off, taking the black mold with it."
Mango,Black Tip (Coal Fume Damage),"Plant mango orchards at least 1.5 km away from brick kilns to avoid smoke damage. Spray Borax @ 6 grams per liter or Washing Soda @ 10 grams per liter of water. Do this three times: first when flowers appear, second when fruits are marble-sized, and third when fruits are half-grown."
Mango,Fruit Fly Damage (Maggots),"Set up Methyl Eugenol Pheromone Traps (10 traps per acre) to catch the male flies. Collect and bury any falling, rotting fruits deep in the soil to kill the maggots inside. Do not spray insecticide directly on the fruit; instead, spot spray a bait mixture of Jaggery and Malathion on the tree trunk or old leaves."
Mango,Mango Malformation (Bunchy Fruit),"Cut off the bunched, deformed floral parts or vegetative shoots as soon as you see them and burn them. In the month of October, before flowering starts, spray NAA (Planofix) @ 1 ml in 4.5 liters of water to encourage healthy fruit formation."
Mango,Scab,"Prune the tree to improve air circulation and sunlight. Spray Copper Oxychloride @ 3 grams per liter or Mancozeb @ 2 grams per liter when the fruits are small (pea-sized) to protect the skin from rough, corky spots. Repeat the spray if the weather is very humid."
Mango,Red Rust (Algal Spot on Fruit),Provide the tree with balanced fertilizers to keep it strong. Prune overcrowding branches to let light in. Spray Copper Oxychloride @ 3 grams per liter or Bordeaux Mixture (1%) during the early summer or when spots first appear on the fruit surface.
Mulberry,Popcorn Disease (White Fruit),"This is the most common specific disease where the individual berries swell up, turn hard, and become greenish-white, looking exactly like popped corn. The fruit becomes inedible and does not ripen. To control this, collect and burn all the infected, fallen white fruits from the ground, as the fungus survives there. Spray Bordeaux mixture (1%) or Copper Oxychloride @ 3 grams per liter when the trees are blooming (flowering) to prevent the fungus from entering the young fruit."
Mulberry,Botrytis Rot (Gray Mold),"The ripening fruit turns soft, brown, and watery. In humid weather, it gets covered in a fuzzy grey mold. This usually happens if the fruits are too crowded or if it rains during harvest. Prune the tree to allow sunlight and air to reach the inner branches. Harvest the fruits immediately as they ripen; do not leave them on the tree. Spraying Carbendazim @ 1 gram per liter or Captan @ 2 grams per liter during fruit setting can help, but stop spraying well before harvest to keep the fruit safe to eat."
Mulberry,Sclerotinia Rot (Dry Rot),"The fruit shrivels, turns dry and hard, and often falls off early. Sometimes a white cottony growth appears on the fallen fruit. This fungus lives in the soil. Clean the orchard floor by removing weeds and plant debris. Do not throw soil onto the plant during weeding. Spray Mancozeb @ 2 grams per liter during the flowering stage to protect the developing berries."
Mulberry,Fruit Rust,"While rust mostly attacks leaves, it can also infect the fruit, causing small, orange, powdery spots on the berry surface. The fruit may deform or drop. Collect and burn infected leaves and fruits. Spray Wettable Sulphur @ 2 grams per liter or Tebuconazole @ 1 ml per liter. Since this disease spreads from old leaves, keeping the garden clean during winter pruning is the best prevention."
Mulberry,Bacterial Blight (Black Rot),"Small, water-soaked, black spots appear on the fruit. The fruit eventually turns completely black and rotten. This spreads fast in rainy seasons. Prune and burn the infected branches. Spray Streptocycline (0.5 gram) mixed with Copper Oxychloride (2 grams) per liter of water. Avoid overhead watering (sprinklers) as splashing water spreads the bacteria from leaf to fruit."
Muskmelon,Fruit Rot (Wet Rot / Pythium),"The fruit becomes soft, water-soaked, and covered with white cottony fungus, especially where it touches damp soil. The fruit collapses quickly. To prevent this, use plastic mulch or place dry straw under the fruits so they do not touch the wet ground. Improve drainage in the field to avoid standing water. Spray Metalaxyl + Mancozeb @ 2 grams per liter if heavy rains occur during the fruiting stage."
Muskmelon,Anthracnose,"Shallow, sunken, circular spots appear on the fruit skin, which may produce pinkish sticky material during humid weather. The fruit rots later in storage. Remove and burn old vines and rotting fruits to keep the field clean. Spray Chlorothalonil @ 2 grams per liter or Thiophanate Methyl @ 1 gram per liter during fruit development. Cool the fruits immediately after harvest to stop the fungus from growing."
Muskmelon,Sun Scald (Sunburn),"Large white or bleached patches appear on the top of the fruit exposed to direct sunlight. The skin becomes thin, weak, and rot enters easily. Maintain a healthy leaf canopy to shade the fruits by providing proper fertilizers. Cover exposed fruits with dry straw, newspaper caps, or the plant's own leaves during the peak summer heat to protect the skin from burning."
Muskmelon,Fusarium Fruit Rot,"The fruit develops soft spots that may turn into white or pink moldy patches, often starting at the stem end or where the fruit sits on the soil. Use resistant varieties if available. Harvest carefully by cutting the stem with a clipper rather than pulling it. Dip the fruit in hot water (55°C) for 2 minutes after harvest to clean the skin. Avoid injuring the fruit during weeding."
Muskmelon,Bacterial Fruit Blotch,"Small water-soaked spots appear on the fruit skin, which enlarge and cause the rind to crack and the flesh to rot. Use only certified disease-free seeds. If you see symptoms, spray Copper Oxychloride @ 3 grams per liter mixed with Streptocycline immediately. Avoid using overhead sprinklers as water splashing spreads the bacteria from leaf to fruit."
Muskmelon,Fruit Fly Damage,"The fruit looks good outside but has maggots (worms) inside the pulp, causing it to rot and smell bad. You may see tiny puncture marks on the skin. Hang ""Methyl Eugenol"" pheromone traps (10 per acre) to catch the male flies. Collect and bury all fallen fruits deep in the soil. Spray a bait of Jaggery and Malathion on the leaves (not on the fruit) to kill the adult flies."
Muskmelon,Mosaic Virus (Fruit Deformity),"The fruit becomes bumpy, mottled with dark and light green patches, and deformed. It tastes bad and cannot be sold. This is spread by aphids (greenflies). Remove and destroy weeds around the field where insects hide. Pull out and bury infected plants immediately. Spray Imidacloprid @ 0.5 ml per liter or Dimethoate @ 2 ml per liter to control the aphids and stop the spread."
Orange,Citrus Gummosis (Brown Rot / Foot Rot affecting fruit),"Fruits develop brown, leathery rot with bad smell, especially in poorly drained orchards. Improve drainage and avoid water stagnation near trunks. Remove infected fruits and affected bark. Apply Bordeaux paste on trunk base. Spray Metalaxyl + Mancozeb @ 2 g per liter during rainy periods. Keep orchard clean and avoid injuries to fruits and trunk."
Orange,Citrus Scab,"Rough, raised, corky scabs form on fruit skin, reducing market value. Prune and destroy infected twigs and fruits. Spray Copper Oxychloride @ 2 g per liter or Carbendazim @ 1 g per liter during new flush and early fruit development. Avoid overhead irrigation. Good spacing and sunlight reduce humidity and help control the disease naturally."
Orange,Anthracnose (Fruit Rot),"Black sunken spots appear on fruits during humid and rainy weather, leading to rotting and early drop. Collect and destroy infected fruits regularly. Avoid water splash on fruits. Spray Carbendazim or Mancozeb @ 2 g per liter during flowering and early fruit stage. Pruning dense branches improves air circulation and reduces disease spread."
Orange,Green Mold (Penicillium Rot),This post-harvest rot enters through wounds and causes soft rot with green powdery growth. Harvest fruits carefully to avoid injuries. Remove damaged fruits immediately. Keep storage areas clean and dry. Dip fruits in hot water (48–50°C for 2–3 minutes) or spray Carbendazim @ 1 g per liter to reduce storage losses.
Orange,Blue Mold (Penicillium italicum),"Similar to green mold but with bluish fungal growth. Occurs mainly during storage and transport. Avoid rough handling and keep fruits dry. Maintain cool, well-ventilated storage. Remove infected fruits quickly. Hot-water treatment or Carbendazim spray helps reduce spread. Hygiene during harvesting and packing is the best prevention."
Orange,Sour Rot (Geotrichum Rot),"Fruits develop soft, watery rot with sour smell, especially in warm and humid conditions. Avoid fruit injuries and harvest at proper maturity. Improve drainage and orchard sanitation. Remove infected fruits immediately. Dip harvested fruits in hot water or spray Copper fungicides. Clean storage and quick marketing reduce losses."
Orange,Stem-End Rot,"Rot starts near the stem end of fruit and spreads inward. Caused by fungi entering through harvest wounds. Harvest fruits with clippers, not by pulling. Avoid stacking wet fruits. Remove infected fruits. Spray Carbendazim @ 1 g per liter before harvest. Proper handling and dry storage are key to control."
Orange,Fruit Drop (Physiological / Stress-related),"Fruits turn yellow and fall early due to moisture stress, nutrient imbalance, or pest attack. Ensure regular irrigation and avoid drought stress. Apply balanced fertilizers, especially potassium. Spray NAA (Planofix) @ 1 ml per 4.5 liters during fruit set. Control insects like aphids and mites to improve fruit retention."
Orange,Sunburn / Sunscald,White or bleached patches develop on fruit due to strong sunlight and heat stress. Maintain good leaf cover and avoid heavy pruning. Use mulching and proper irrigation during hot months. Shade nets can be used in extreme heat. Balanced nutrition helps maintain canopy and protects fruits from direct sun exposure.
Orange,Sooty Mold (Secondary Fruit Problem),"Black, soot-like coating forms on fruit surface due to honeydew from insects like aphids and whiteflies. Control insects using Neem oil @ 3 ml per liter or suitable insecticides. Wash fruits to remove soot. Managing insect pests automatically prevents sooty mold and improves fruit appearance."
Orange,Alternaria Fruit Rot / Black Rot,"Dark brown to black spots appear on mature fruits, leading to rot during humid weather. Remove infected fruits from the orchard. Avoid water splash during irrigation. Spray Mancozeb or Chlorothalonil @ 2 g per liter at early symptom stage. Good orchard sanitation and airflow reduce disease pressure."
Orange,Phytophthora Fruit Rot,Fruits touching wet soil rot quickly during rainy season. Improve drainage and avoid water stagnation. Use mulching to keep fruits off the ground. Spray Metalaxyl + Mancozeb @ 2 g per liter during prolonged rains. Remove fallen and infected fruits immediately to stop spread.
Paddy,Neck Blast (Benki Roga / Rotten Neck),"If you notice brown or black spots on the neck of the rice panicle, stop using urea immediately, as too much nitrogen increases the disease. When the panicle starts coming out, spray Tricyclazole @ 0.6 g per liter of water. For prevention, soak seeds in Pseudomonas liquid before sowing. This improves plant strength and helps the crop fight disease naturally."
Paddy,False Smut (Gantu Roga / Lakshmi Roga),"Spray Propiconazole or Copper Oxychloride just before the grain head comes out of the leaf (boot stage). This timing is very important to stop disease spread. If you see yellow or green ball-like growth on grains, collect them from the field and burn them. Do not throw them on the bunds, as they can spread infection to the next crop."
Paddy,Udbatta Disease (Udbatta Roga / Incense Stick Disease),"Before sowing, soak seeds in hot water at 52°C for 10 minutes to kill hidden fungus inside seeds. In the field, if you notice stick-like structures instead of grains, pull out those plants immediately. Burn them away from the field. Never leave infected plants inside the field, as this disease spreads through seed and soil."
Paddy,Grain Discoloration (Golu Roga / Dirty Panicle),"Control insects like Gundhi Bug using neem oil spray, as their bite allows fungus to enter grains. After harvest, dry the grains properly under sunlight until moisture is below 14%. Well-dried grains store better and do not rot. Avoid harvesting during wet weather and store grains in clean, dry bags to prevent discoloration."
Paddy,Kernel Smut (Kari Gantu / Black Smut),"Avoid excess fertilizer, especially nitrogen, during flowering. Too much fertilizer increases disease risk. Spray Propiconazole (Tilt) at the boot stage to prevent infection. Always use clean, healthy seeds for sowing. Never save seeds from infected fields for the next season, as this disease spreads mainly through contaminated seeds."
Paddy,Grain Rot (Sada Roga / Bacterial Panicle Blight),"Do not allow water to stagnate in the field during flowering; ensure proper drainage. If grains turn straw-colored or brown and fail to fill, spray Streptocycline 6 g mixed in 60 liters of water. Maintain field cleanliness and avoid late evening irrigation. Balanced fertilizer use and good airflow reduce disease chances."
Paddy,Sheath Rot (Soolai Noi / Chaffy Grains),"When the grain head is still inside the leaf (booting stage), spray Carbendazim + Mancozeb @ 2 g per liter of water to stop the rot early. Control pests like stem borers and mites because their damage allows the disease to enter. Apply extra potash fertilizer, which helps the plant push the grain head out properly and reduces grain emptiness."
Paddy,Bacterial Grain Rot (Pal Karal / Grain Blight),"Do not allow water from an infected field to flow into a healthy field, as the disease spreads through water. Spray a mixture of Streptocycline @ 0.1 g/L and Copper Oxychloride @ 2 g/L. For a natural method, spray filtered cow dung extract or neem oil, which forms a protective layer on grains and reduces infection."
Paddy,Brown Spot – Grain Stage (Karum Pulli / Sesame Spot),"This disease mainly attacks weak crops, so improve soil health by applying zinc and silicon. During the milk-filling stage, spray Mancozeb @ 2 g/L or Propiconazole. Before sowing, treat seeds in hot water at 54°C for 10 minutes to kill disease-causing fungus and ensure healthy plant growth from the start."
Paddy,Red Stripe (Sivappu Pattai),"Maintain wider plant spacing to allow air movement and reduce moisture around plants. Follow intermittent drainage, allowing the field to dry for two days before re-flooding. Reduce excess urea fertilizer, as too much nitrogen increases disease. Keep the soil moist but not waterlogged during grain formation for better disease control."
Paddy,Bakanae Disease (Foolish Seedling / Manja Roga),"This disease starts from infected seeds and causes tall, weak plants with empty grains. Always treat seeds with Tricyclazole before sowing. In the field, if you see abnormally tall, thin, pale plants, remove them immediately and destroy them. Early removal prevents the disease from spreading to healthy plants and grain heads."
Paddy,Paddy Bunt (Kernel Smut / Tilletia),"This disease spreads mainly through infected seeds. To prevent it, spray Propiconazole at the boot stage, before the grain head fully comes out. After harvest, remove black-colored bunted grains during cleaning and processing. Never use infected grains for next season sowing. Clean seed selection and timely spray help reduce yield loss and stop future spread."
Paddy,Bacterial Panicle Blight (Grain Rot / Burkholderia),"Always use certified, disease-free seeds to avoid early infection. During flowering, avoid stagnant water and drain the field to reduce humidity. If symptoms like empty or brown grains appear, spray Streptocycline 6 g mixed in 60 liters of water. Good water management and clean seeds are the best protection against this disease."
